machine_id,block_id,rate
fb_01,B4497,2322.41691
fb_01,B5817,1443.108765
fb_01,B6017,2665.085661
fb_01,B8121,226.723365
fb_01,B10412,6200.558087
fb_01,B11042,3631.334437
fb_01,B11805,3571.626278
fb_01,B12039,532.017271
fb_01,B14953,649.771314
fb_01,B18200,928.110195
fb_01,B20631,1029.09546
fb_01,B20632,1029.09546
fb_01,B20673,2729.691194
fb_01,B21443,2319.96416
fb_01,B30099,574.969425
fb_01,B30103,881.144989
fb_01,B31203,694.522597
fb_01,B35154,1997.404288
fb_02,B4497,2322.41691
fb_02,B5817,1443.108765
fb_02,B6017,2665.085661
fb_02,B8121,226.723365
fb_02,B10412,6200.558087
fb_02,B11042,3631.334437
fb_02,B11805,3571.626278
fb_02,B12039,532.017271
fb_02,B14953,649.771314
fb_02,B18200,928.110195
fb_02,B20631,1029.09546
fb_02,B20632,1029.09546
fb_02,B20673,2729.691194
fb_02,B21443,2319.96416
fb_02,B30099,574.969425
fb_02,B30103,881.144989
fb_02,B31203,694.522597
fb_02,B35154,1997.404288
fb_03,B4497,2322.41691
fb_03,B5817,1443.108765
fb_03,B6017,2665.085661
fb_03,B8121,226.723365
fb_03,B10412,6200.558087
fb_03,B11042,3631.334437
fb_03,B11805,3571.626278
fb_03,B12039,532.017271
fb_03,B14953,649.771314
fb_03,B18200,928.110195
fb_03,B20631,1029.09546
fb_03,B20632,1029.09546
fb_03,B20673,2729.691194
fb_03,B21443,2319.96416
fb_03,B30099,574.969425
fb_03,B30103,881.144989
fb_03,B31203,694.522597
fb_03,B35154,1997.404288
sk_01,B4497,889.834655
sk_01,B5817,406.765774
sk_01,B6017,663.225251
sk_01,B8121,876.902283
sk_01,B10412,1248.689626
sk_01,B11042,1070.932306
sk_01,B11805,801.853991
sk_01,B12039,671.398985
sk_01,B14953,550.765108
sk_01,B18200,406.765774
sk_01,B20631,421.945853
sk_01,B20632,409.179351
sk_01,B20673,406.765774
sk_01,B21443,432.658708
sk_01,B30099,406.765774
sk_01,B30103,406.765774
sk_01,B31203,406.765774
sk_01,B35154,406.765774
sk_02,B4497,889.834655
sk_02,B5817,406.765774
sk_02,B6017,663.225251
sk_02,B8121,876.902283
sk_02,B10412,1248.689626
sk_02,B11042,1070.932306
sk_02,B11805,801.853991
sk_02,B12039,671.398985
sk_02,B14953,550.765108
sk_02,B18200,406.765774
sk_02,B20631,421.945853
sk_02,B20632,409.179351
sk_02,B20673,406.765774
sk_02,B21443,432.658708
sk_02,B30099,406.765774
sk_02,B30103,406.765774
sk_02,B31203,406.765774
sk_02,B35154,406.765774
sk_03,B4497,889.834655
sk_03,B5817,406.765774
sk_03,B6017,663.225251
sk_03,B8121,876.902283
sk_03,B10412,1248.689626
sk_03,B11042,1070.932306
sk_03,B11805,801.853991
sk_03,B12039,671.398985
sk_03,B14953,550.765108
sk_03,B18200,406.765774
sk_03,B20631,421.945853
sk_03,B20632,409.179351
sk_03,B20673,406.765774
sk_03,B21443,432.658708
sk_03,B30099,406.765774
sk_03,B30103,406.765774
sk_03,B31203,406.765774
sk_03,B35154,406.765774
pr_01,B4497,907.515654
pr_01,B5817,639.623464
pr_01,B6017,1277.456268
pr_01,B8121,388.994246
pr_01,B10412,2818.73865
pr_01,B11042,1569.484875
pr_01,B11805,1492.321086
pr_01,B12039,498.764473
pr_01,B14953,445.594259
pr_01,B18200,543.332328
pr_01,B20631,783.520933
pr_01,B20632,783.520933
pr_01,B20673,1288.521448
pr_01,B21443,1024.939966
pr_01,B30099,531.928739
pr_01,B30103,537.382771
pr_01,B31203,448.756539
pr_01,B35154,845.815353
pr_02,B4497,907.515654
pr_02,B5817,639.623464
pr_02,B6017,1277.456268
pr_02,B8121,388.994246
