id,landing_id,harvest_system_id,work_required,earliest_start,latest_finish,avg_stem_size_m3,volume_per_ha_m3,stem_density_per_ha,ground_slope_percent,volume_per_ha_m3_sigma,stem_density_per_ha_sigma
B4497,L01,ground_fb_loader_liveheel,21845.531226,1,112,0.871842,538.2752,617.4,4.622129,107.65504,123.48
B5817,L02,ground_fb_loader_liveheel,191054.523007,1,112,0.518351,500.717346,965.980769,36.432437,100.143469,193.196154
B6017,L03,ground_fb_loader_liveheel,45996.526464,1,112,1.359988,669.891286,492.571429,59.21395,133.978257,98.514286
B8121,L04,ground_fb_loader_liveheel,2857.880527,1,112,0.18764,129.096,688.0,42.229679,25.8192,137.6
B10412,L05,ground_fb_loader_liveheel,1360.637223,1,112,3.39375,746.625,220.0,42.229679,149.325,44.0
B11042,L06,ground_fb_loader_liveheel,2620.237118,1,112,1.745327,783.652,449.0,42.229679,156.7304,89.8
B11805,L07,ground_fb_loader_liveheel,12013.650261,1,112,1.643508,844.763,514.0,42.229679,168.9526,102.8
B12039,L08,ground_fb_loader_liveheel,4992.996872,1,112,0.332484,189.1835,569.0,40.556876,37.8367,113.8
B14953,L09,ground_fb_loader_liveheel,9424.026271,1,112,0.262325,182.578,696.0,22.137841,36.5156,139.2
B18200,L10,ground_fb_loader_liveheel,125689.602179,1,112,0.391293,373.13664,953.6,47.449581,74.627328,190.72
B20631,L11,ground_fb_loader_liveheel,20486.00248,1,112,0.708228,186.440937,263.25,42.49517,37.288187,52.65
B20632,L12,ground_fb_loader_liveheel,20486.00248,1,112,0.708228,186.440937,263.25,42.49517,37.288187,52.65
B20673,L13,ground_fb_loader_liveheel,103582.661981,1,112,1.374589,594.337875,432.375,44.189233,118.867575,86.475
B21443,L14,ground_fb_loader_liveheel,40127.212623,1,112,1.026786,595.878333,580.333333,34.099469,119.175667,116.066667
B30099,L15,ground_fb_loader_liveheel,50297.948899,1,112,0.376245,305.598,812.230769,64.634025,61.1196,162.446154
B30103,L16,ground_fb_loader_liveheel,35500.649852,1,112,0.383442,281.556,734.285714,32.864855,56.3112,146.857143
B31203,L17,ground_fb_loader_liveheel,30347.283911,1,112,0.266497,317.626857,1191.857143,49.385767,63.525371,238.371429
B35154,L18,ground_fb_loader_liveheel,37066.262004,1,112,0.790427,566.736,717.0,28.305607,113.3472,143.4
