Rolling plan completed: 0 locks
Metadata: solver=mip master_days=56 sub_days=56 lock_days=1
MILP backend: solver=highs time_limit=600 options={}
 - Iter 0: days 1-56, locked 0 assignments
 - Iter 1: days 2-56, locked 0 assignments
 - Iter 2: days 3-56, locked 0 assignments
 - Iter 3: days 4-56, locked 0 assignments
 - Iter 4: days 5-56, locked 0 assignments
 - Iter 5: days 6-56, locked 0 assignments
 - Iter 6: days 7-56, locked 0 assignments
 - Iter 7: days 8-56, locked 0 assignments
 - Iter 8: days 9-56, locked 0 assignments
 - Iter 9: days 10-56, locked 0 assignments
 - Iter 10: days 11-56, locked 0 assignments
 - Iter 11: days 12-56, locked 0 assignments
 - Iter 12: days 13-56, locked 0 assignments
 - Iter 13: days 14-56, locked 0 assignments
 - Iter 14: days 15-56, locked 0 assignments
 - Iter 15: days 16-56, locked 0 assignments
 - Iter 16: days 17-56, locked 0 assignments
 - Iter 17: days 18-56, locked 0 assignments
 - Iter 18: days 19-56, locked 0 assignments
 - Iter 19: days 20-56, locked 0 assignments
 - Iter 20: days 21-56, locked 0 assignments
 - Iter 21: days 22-56, locked 0 assignments
 - Iter 22: days 23-56, locked 0 assignments
 - Iter 23: days 24-56, locked 0 assignments
 - Iter 24: days 25-56, locked 0 assignments
 - Iter 25: days 26-56, locked 0 assignments
 - Iter 26: days 27-56, locked 0 assignments
 - Iter 27: days 28-56, locked 0 assignments
 - Iter 28: days 29-56, locked 0 assignments
 - Iter 29: days 30-56, locked 0 assignments
 - Iter 30: days 31-56, locked 0 assignments
 - Iter 31: days 32-56, locked 0 assignments
 - Iter 32: days 33-56, locked 0 assignments
 - Iter 33: days 34-56, locked 0 assignments
 - Iter 34: days 35-56, locked 0 assignments
 - Iter 35: days 36-56, locked 0 assignments
 - Iter 36: days 37-56, locked 0 assignments
 - Iter 37: days 38-56, locked 0 assignments
 - Iter 38: days 39-56, locked 0 assignments
 - Iter 39: days 40-56, locked 0 assignments
 - Iter 40: days 41-56, locked 0 assignments
 - Iter 41: days 42-56, locked 0 assignments
 - Iter 42: days 43-56, locked 0 assignments
 - Iter 43: days 44-56, locked 0 assignments
 - Iter 44: days 45-56, locked 0 assignments
 - Iter 45: days 46-56, locked 0 assignments
 - Iter 46: days 47-56, locked 0 assignments
 - Iter 47: days 48-56, locked 0 assignments
 - Iter 48: days 49-56, locked 0 assignments
 - Iter 49: days 50-56, locked 0 assignments
 - Iter 50: days 51-56, locked 0 assignments
 - Iter 51: days 52-56, locked 0 assignments
 - Iter 52: days 53-56, locked 0 assignments
 - Iter 53: days 54-56, locked 0 assignments
 - Iter 54: days 55-56, locked 0 assignments
 - Iter 55: days 56-56, locked 0 assignments
Wrote summary to /home/rjaffray/projects/jaffray-masc-fhops-model/data/output/ni_40_sub56_lock1_mip_20260311_164757.json
