ka,6,2,14,7,mip,True,0,616.721,,,,,,,,,,2026-03-04T23:11:57.660508
ka,6,2,14,7,sa,True,0,19.247,,,,,,,,,,2026-03-04T23:12:16.908429
ka,6,4,28,7,mip,True,0,1826.354,,,,,,,,,,2026-03-04T23:42:43.263403
ka,6,4,28,7,sa,True,0,52.313,,,,,,,,,,2026-03-04T23:43:35.577811
ka,6,8,56,7,mip,True,0,3410.652,,,,,,,,,,2026-03-05T00:40:26.230915
ka,6,8,56,7,sa,True,0,135.252,,,,,,,,,,2026-03-05T00:42:41.483811
ka,18,2,14,7,mip,True,0,1254.69,,,,,,,,,,2026-03-05T01:03:36.175144
ka,18,2,14,7,sa,True,0,63.958,,,,,,,,,,2026-03-05T01:04:40.134297
ka,18,4,28,7,mip,True,0,2597.031,,,,,,,,,,2026-03-05T01:47:57.166446
ka,18,4,28,7,sa,True,0,195.413,,,,,,,,,,2026-03-05T01:51:12.580245
ka,18,8,56,7,mip,True,0,5518.21,,,,,,,,,,2026-03-05T03:23:10.791392
ka,18,8,56,7,sa,True,0,498.704,,,,,,,,,,2026-03-05T03:31:29.496026
ka,40,2,14,7,mip,True,0,1766.867,,,,,,,,,,2026-03-05T04:00:56.363836
ka,40,2,14,7,sa,True,0,229.334,,,,,,,,,,2026-03-05T04:04:45.698452
ka,40,4,28,7,mip,True,0,4328.666,,,,,,,,,,2026-03-05T05:16:54.365617
ka,40,4,28,7,sa,True,0,1191.336,,,,,,,,,,2026-03-05T05:36:45.702758
ka,40,8,56,7,mip,True,0,12034.894,,,,,,,,,,2026-03-05T08:57:20.597568
ka,40,8,56,7,sa,True,0,6939.518,,,,,,,,,,2026-03-05T10:53:00.116004
ni,6,2,14,7,mip,True,0,336.18,,,,,,,,,,2026-03-05T10:58:36.297185
ni,6,2,14,7,sa,True,0,19.809,,,,,,,,,,2026-03-05T10:58:56.106663
ni,6,4,28,7,mip,True,0,1545.972,,,,,,,,,,2026-03-05T11:24:42.079315
ni,6,4,28,7,sa,True,0,81.083,,,,,,,,,,2026-03-05T11:26:03.163619
ni,6,8,56,7,mip,True,0,3980.904,,,,,,,,,,2026-03-05T12:32:24.068624
ni,6,8,56,7,sa,True,0,439.526,,,,,,,,,,2026-03-05T12:39:43.595670
ni,18,2,14,7,mip,True,0,1263.338,,,,,,,,,,2026-03-05T13:00:46.934825
ni,18,2,14,7,sa,True,0,55.291,,,,,,,,,,2026-03-05T13:01:42.226699
ni,18,4,28,7,mip,True,0,2582.165,,,,,,,,,,2026-03-05T13:44:44.392434
ni,18,4,28,7,sa,True,0,236.928,,,,,,,,,,2026-03-05T13:48:41.320915
ni,18,8,56,7,mip,True,0,5470.188,,,,,,,,,,2026-03-05T15:19:51.510206
ni,18,8,56,7,sa,True,0,1365.358,,,,,,,,,,2026-03-05T15:42:36.869334
ni,40,2,14,7,mip,True,0,1762.561,,,,,,,,,,2026-03-05T16:11:59.431681
ni,40,2,14,7,sa,True,0,209.994,,,,,,,,,,2026-03-05T16:15:29.426379
ni,40,4,28,7,mip,True,0,4312.071,,,,,,,,,,2026-03-05T17:27:21.498217
ni,40,4,28,7,sa,True,0,941.654,,,,,,,,,,2026-03-05T17:43:03.153465
ni,40,8,56,7,mip,True,0,11855.885,,,,,,,,,,2026-03-05T21:00:39.039895
ni,40,8,56,7,sa,True,0,5485.397,,,,,,,,,,2026-03-05T22:32:04.438356
pg,6,2,14,7,mip,True,0,787.654,,,,,,,,,,2026-03-05T22:45:12.093774
pg,6,2,14,7,sa,True,0,18.259,,,,,,,,,,2026-03-05T22:45:30.353736
pg,6,4,28,7,mip,True,0,1996.838,,,,,,,,,,2026-03-05T23:18:47.193359
pg,6,4,28,7,sa,True,0,54.43,,,,,,,,,,2026-03-05T23:19:41.624659
pg,6,8,56,7,mip,True,0,4428.007,,,,,,,,,,2026-03-06T00:33:29.633004
pg,6,8,56,7,sa,True,0,170.715,,,,,,,,,,2026-03-06T00:36:20.348652
pg,18,2,14,7,mip,True,0,1256.836,,,,,,,,,,2026-03-06T00:57:17.185642
pg,18,2,14,7,sa,True,0,55.643,,,,,,,,,,2026-03-06T00:58:12.830038
pg,18,4,28,7,mip,True,0,2589.268,,,,,,,,,,2026-03-06T01:41:22.099524
pg,18,4,28,7,sa,True,0,262.181,,,,,,,,,,2026-03-06T01:45:44.281176
pg,18,8,56,7,mip,True,0,5524.205,,,,,,,,,,2026-03-06T03:17:48.487705
pg,18,8,56,7,sa,True,0,1373.896,,,,,,,,,,2026-03-06T03:40:42.384489
pg,40,2,14,7,mip,True,0,1766.51,,,,,,,,,,2026-03-06T04:10:08.895901
pg,40,2,14,7,sa,True,0,192.382,,,,,,,,,,2026-03-06T04:13:21.278993
pg,40,4,28,7,mip,True,0,4353.338,,,,,,,,,,2026-03-06T05:25:54.617723
pg,40,4,28,7,sa,True,0,924.258,,,,,,,,,,2026-03-06T05:41:18.876702
ka,6,2,14,1,mip,True,0,3474.334,,,,,,,,,,2026-03-06T07:06:55.653940
ka,6,2,14,1,sa,True,0,88.879,,,,,,,,,,2026-03-06T07:08:24.533895
ka,6,2,14,14,mip,True,0,604.403,,,,,,,,,,2026-03-06T07:18:28.938283
ka,6,2,14,14,sa,True,0,13.953,,,,,,,,,,2026-03-06T07:18:42.892051
pg,40,8,56,7,mip,True,0,12019.159,,,,,,,,,,2026-03-06T09:01:38.036569
ka,6,4,28,1,mip,True,0,11911.744,,,,,,,,,,2026-03-06T10:37:14.637186
pg,40,8,56,7,sa,True,0,5857.451,,,,,,,,,,2026-03-06T10:39:15.488802
ka,6,4,28,1,sa,True,0,309.559,,,,,,,,,,2026-03-06T10:42:24.197584
ka,6,4,28,14,mip,True,0,1209.258,,,,,,,,,,2026-03-06T11:02:33.456824
ka,6,4,28,14,sa,True,0,32.641,,,,,,,,,,2026-03-06T11:03:06.099150
ka,6,8,56,1,mip,True,0,24029.765,,,,,,,,,,2026-03-06T17:43:35.865039
ka,6,8,56,1,sa,True,0,889.412,,,,,,,,,,2026-03-06T17:58:25.278751
ka,6,8,56,14,mip,True,0,1931.119,,,,,,,,,,2026-03-06T18:30:36.399111
ka,6,8,56,14,sa,True,0,76.848,,,,,,,,,,2026-03-06T18:31:53.248192
ka,18,2,14,1,mip,True,0,7606.363,,,,,,,,,,2026-03-06T20:38:39.612367
ka,18,2,14,1,sa,True,0,294.052,,,,,,,,,,2026-03-06T20:43:33.664749
ka,18,2,14,14,mip,True,0,640.116,,,,,,,,,,2026-03-06T20:54:13.782014
ka,18,2,14,14,sa,True,0,44.026,,,,,,,,,,2026-03-06T20:54:57.808981
ka,18,4,28,1,mip,True,0,16878.345,,,,,,,,,,2026-03-07T01:36:16.155554
ka,18,4,28,1,sa,True,0,1179.701,,,,,,,,,,2026-03-07T01:55:55.857834
ka,18,4,28,14,mip,True,0,1313.324,,,,,,,,,,2026-03-07T02:17:49.182877
ka,18,4,28,14,sa,True,0,128.574,,,,,,,,,,2026-03-07T02:19:57.757917
ka,18,8,56,1,mip,True,0,36775.21,,,,,,,,,,2026-03-07T12:32:52.969634
ka,18,8,56,1,sa,True,0,3531.932,,,,,,,,,,2026-03-07T13:31:44.902897
ka,18,8,56,14,mip,True,0,2781.758,,,,,,,,,,2026-03-07T14:18:06.661471
ka,18,8,56,14,sa,True,0,290.766,,,,,,,,,,2026-03-07T14:22:57.428755
ka,40,2,14,1,mip,True,0,10611.353,,,,,,,,,,2026-03-07T17:19:48.783044
ka,40,2,14,1,sa,True,0,1050.512,,,,,,,,,,2026-03-07T17:37:19.296387
ka,40,2,14,14,mip,True,0,992.021,,,,,,,,,,2026-03-07T17:53:51.318799
ka,40,2,14,14,sa,True,0,162.918,,,,,,,,,,2026-03-07T17:56:34.237633
ka,40,4,28,1,mip,True,0,27345.776,,,,,,,,,,2026-03-08T01:32:20.014939
ka,40,4,28,1,sa,True,0,6689.1,,,,,,,,,,2026-03-08T03:23:49.116000
ka,40,4,28,14,mip,True,0,2389.854,,,,,,,,,,2026-03-08T04:03:38.970776
ka,40,4,28,14,sa,True,0,774.382,,,,,,,,,,2026-03-08T04:16:33.353837
ka,40,8,56,1,mip,True,0,78773.09,,,,,,,,,,2026-03-09T02:09:26.445310
ka,40,8,56,1,sa,True,0,43863.554,,,,,,,,,,2026-03-09T14:20:30.000828
ka,40,8,56,14,mip,True,0,6452.183,,,,,,,,,,2026-03-09T16:08:02.185368
ka,40,8,56,14,sa,True,0,4102.825,,,,,,,,,,2026-03-09T17:16:25.011554
ni,6,2,14,1,mip,True,0,1633.375,,,,,,,,,,2026-03-09T17:43:38.387628
ni,6,2,14,1,sa,True,0,93.457,,,,,,,,,,2026-03-09T17:45:11.845234
ni,6,2,14,14,mip,True,0,202.852,,,,,,,,,,2026-03-09T17:48:34.698013
ni,6,2,14,14,sa,True,0,14.246,,,,,,,,,,2026-03-09T17:48:48.945143
ni,6,4,28,1,mip,True,0,10121.907,,,,,,,,,,2026-03-09T20:37:30.853443
ni,6,4,28,1,sa,True,0,465.45,,,,,,,,,,2026-03-09T20:45:16.304283
ni,6,4,28,14,mip,True,0,809.831,,,,,,,,,,2026-03-09T20:58:46.136671
ni,6,4,28,14,sa,True,0,57.125,,,,,,,,,,2026-03-09T20:59:43.262730
ni,6,8,56,1,mip,True,0,27117.259,,,,,,,,,,2026-03-10T04:31:40.523502
ni,6,8,56,1,sa,True,0,2723.133,,,,,,,,,,2026-03-10T05:17:03.657759
ni,6,8,56,14,mip,True,0,2023.949,,,,,,,,,,2026-03-10T05:50:47.607904
ni,6,8,56,14,sa,True,0,253.926,,,,,,,,,,2026-03-10T05:55:01.535120
ni,18,2,14,1,mip,True,0,7550.587,,,,,,,,,,2026-03-10T08:00:52.123358
ni,18,2,14,1,sa,True,0,266.229,,,,,,,,,,2026-03-10T08:05:18.353533
ni,18,2,14,14,mip,True,0,639.62,,,,,,,,,,2026-03-10T08:15:57.974136
ni,18,2,14,14,sa,True,0,38.676,,,,,,,,,,2026-03-10T08:16:36.651166
ni,18,4,28,1,mip,True,0,16717.469,,,,,,,,,,2026-03-10T12:55:14.121774
ni,18,4,28,1,sa,True,0,1290.393,,,,,,,,,,2026-03-10T13:16:44.516412
ni,18,4,28,14,mip,True,0,1321.935,,,,,,,,,,2026-03-10T13:38:46.452927
ni,18,4,28,14,sa,True,0,163.957,,,,,,,,,,2026-03-10T13:41:30.411302
ni,18,8,56,1,mip,True,0,37034.7,,,,,,,,,,2026-03-10T23:58:45.113135
ni,18,8,56,1,sa,True,0,8662.737,,,,,,,,,,2026-03-11T02:23:07.851597
ni,18,8,56,14,mip,True,0,2803.626,,,,,,,,,,2026-03-11T03:09:51.478739
ni,18,8,56,14,sa,True,0,843.804,,,,,,,,,,2026-03-11T03:23:55.283816
ni,40,2,14,1,mip,True,0,10598.514,,,,,,,,,,2026-03-11T06:20:33.798626
ni,40,2,14,1,sa,True,0,950.834,,,,,,,,,,2026-03-11T06:36:24.633997
ni,40,2,14,14,mip,True,0,1001.271,,,,,,,,,,2026-03-11T06:53:05.905981
ni,40,2,14,14,sa,True,0,139.025,,,,,,,,,,2026-03-11T06:55:24.932331
ni,40,4,28,1,mip,True,0,27350.847,,,,,,,,,,2026-03-11T14:31:15.780212
ni,40,4,28,1,sa,True,0,5192.771,,,,,,,,,,2026-03-11T15:57:48.552788
ni,40,4,28,14,mip,True,0,2399.082,,,,,,,,,,2026-03-11T16:37:47.635556
ni,40,4,28,14,sa,True,0,610.006,,,,,,,,,,2026-03-11T16:47:57.642844
ni,40,8,56,1,mip,True,0,78643.23,,,,,,,,,,2026-03-12T14:38:40.873719
ni,40,8,56,1,sa,True,0,33711.549,,,,,,,,,,2026-03-13T00:00:32.424031
ni,40,8,56,14,mip,True,0,6441.478,,,,,,,,,,2026-03-13T01:47:53.902962
ni,40,8,56,14,sa,True,0,3208.969,,,,,,,,,,2026-03-13T02:41:22.873333
pg,6,2,14,1,mip,True,0,2537.24,,,,,,,,,,2026-03-13T03:23:40.114405
pg,6,2,14,1,sa,True,0,88.066,,,,,,,,,,2026-03-13T03:25:08.181215
pg,6,2,14,14,mip,True,0,604.152,,,,,,,,,,2026-03-13T03:35:12.334198
pg,6,2,14,14,sa,True,0,13.033,,,,,,,,,,2026-03-13T03:35:25.368373
pg,6,4,28,1,mip,True,0,10984.784,,,,,,,,,,2026-03-13T06:38:30.154030
pg,6,4,28,1,sa,True,0,320.064,,,,,,,,,,2026-03-13T06:43:50.219304
pg,6,4,28,14,mip,True,0,1209.86,,,,,,,,,,2026-03-13T07:04:00.080672
pg,6,4,28,14,sa,True,0,33.62,,,,,,,,,,2026-03-13T07:04:33.701460
pg,6,8,56,1,mip,True,0,28007.621,,,,,,,,,,2026-03-13T14:51:21.324243
pg,6,8,56,1,sa,True,0,1118.399,,,,,,,,,,2026-03-13T15:09:59.724622
pg,6,8,56,14,mip,True,0,2428.919,,,,,,,,,,2026-03-13T15:50:28.644429
pg,6,8,56,14,sa,True,0,95.778,,,,,,,,,,2026-03-13T15:52:04.423561
pg,18,2,14,1,mip,True,0,7567.304,,,,,,,,,,2026-03-13T17:58:11.729142
pg,18,2,14,1,sa,True,0,267.147,,,,,,,,,,2026-03-13T18:02:38.877304
pg,18,2,14,14,mip,True,0,639.911,,,,,,,,,,2026-03-13T18:13:18.789656
pg,18,2,14,14,sa,True,0,38.656,,,,,,,,,,2026-03-13T18:13:57.446457
pg,18,4,28,1,mip,True,0,16754.558,,,,,,,,,,2026-03-13T22:53:12.006162
pg,18,4,28,1,sa,True,0,1456.974,,,,,,,,,,2026-03-13T23:17:28.980929
pg,18,4,28,14,mip,True,0,1312.999,,,,,,,,,,2026-03-13T23:39:21.981190
pg,18,4,28,14,sa,True,0,171.584,,,,,,,,,,2026-03-13T23:42:13.565937
pg,18,8,56,1,mip,True,0,36996.137,,,,,,,,,,2026-03-14T09:58:49.704644
pg,18,8,56,1,sa,True,0,8274.206,,,,,,,,,,2026-03-14T12:16:43.912214
pg,18,8,56,14,mip,True,0,2798.927,,,,,,,,,,2026-03-14T13:03:22.840870
pg,18,8,56,14,sa,True,0,772.818,,,,,,,,,,2026-03-14T13:16:15.660331
pg,40,2,14,1,mip,True,0,10536.48,,,,,,,,,,2026-03-14T16:11:52.140745
pg,40,2,14,1,sa,True,0,926.678,,,,,,,,,,2026-03-14T16:27:18.819851
pg,40,2,14,14,mip,True,0,991.543,,,,,,,,,,2026-03-14T16:43:50.364317
pg,40,2,14,14,sa,True,0,134.689,,,,,,,,,,2026-03-14T16:46:05.053847
pg,40,4,28,1,mip,True,0,27252.125,,,,,,,,,,2026-03-15T00:20:17.179885
pg,40,4,28,1,sa,True,0,5308.477,,,,,,,,,,2026-03-15T01:48:45.658307
pg,40,4,28,14,mip,True,0,2374.821,,,,,,,,,,2026-03-15T02:28:20.480840
pg,40,4,28,14,sa,True,0,629.672,,,,,,,,,,2026-03-15T02:38:50.153770
pg,40,8,56,1,mip,True,0,78076.882,,,,,,,,,,2026-03-16T00:20:07.037547
pg,40,8,56,1,sa,True,0,34525.881,,,,,,,,,,2026-03-16T09:55:32.919537
pg,40,8,56,14,mip,True,0,6392.094,,,,,,,,,,2026-03-16T11:42:05.014553
pg,40,8,56,14,sa,True,0,3274.968,,,,,,,,,,2026-03-16T12:36:39.983312
