scenario,dataset_size,solver,theta_weeks,f_roll_days,final_objective,benchmark_objective,gap_percent,stability
MASc KA 40 blocks,large,sa,4.0,1,-393614.222773,-403387.805251,2.422875047479076,1
MASc NI 40 blocks,large,sa,4.0,1,-1578930.499671,-1578930.499671,0.0,1
MASc PG 40 blocks,large,sa,4.0,1,-1309443.401107,-1309443.401107,0.0,1
MASc KA 40 blocks,large,sa,4.0,1,-393614.222773,-403387.805251,2.422875047479076,1
MASc PG 40 blocks,large,sa,4.0,1,-1309443.401107,-1309443.401107,0.0,1
MASc NI 40 blocks,large,sa,4.0,1,-1578930.499671,-1578930.499671,0.0,1
MASc PG 40 blocks,large,sa,4.0,7,-1264383.401107,-1309443.401107,3.4411567511743075,1
MASc NI 40 blocks,large,sa,4.0,7,-1532819.476543,-1578930.499671,2.9203959982791003,1
MASc KA 40 blocks,large,sa,4.0,7,-385003.025899,-403387.805251,4.55759423380695,1
MASc KA 40 blocks,large,sa,4.0,7,-379003.025899,-403387.805251,6.044996659437199,1
MASc NI 40 blocks,large,sa,4.0,7,-1532819.476543,-1578930.499671,2.9203959982791003,1
MASc PG 40 blocks,large,sa,4.0,7,-1266699.401107,-1309443.401107,3.2642877091032982,1
MASc NI 40 blocks,large,sa,4.0,14,-1448799.476543,-1578930.499671,8.241719515527462,1
MASc KA 40 blocks,large,sa,4.0,14,-399703.805251,-403387.805251,0.9132650893369731,1
MASc NI 40 blocks,large,sa,4.0,14,-1449799.476543,-1578930.499671,8.178385505562593,1
MASc KA 40 blocks,large,sa,4.0,14,-403387.805251,-403387.805251,0.0,1
MASc PG 40 blocks,large,sa,4.0,14,-1176624.2154929999,-1309443.401107,10.143178811830666,1
MASc PG 40 blocks,large,sa,4.0,14,-1169886.922699,-1309443.401107,10.657694581531304,1
MASc KA 40 blocks,large,sa,8.0,1,-393614.222773,-403387.805251,2.422875047479076,1
MASc KA 40 blocks,large,sa,8.0,1,-393614.222773,-403387.805251,2.422875047479076,1
MASc PG 40 blocks,large,sa,8.0,1,-1309443.401107,-1309443.401107,0.0,1
MASc PG 40 blocks,large,sa,8.0,1,-1309443.401107,-1309443.401107,0.0,1
MASc PG 40 blocks,large,sa,8.0,7,-1266699.401107,-1309443.401107,3.2642877091032982,1
MASc KA 40 blocks,large,sa,8.0,7,-385003.025899,-403387.805251,4.55759423380695,1
MASc PG 40 blocks,large,sa,8.0,7,-1264383.401107,-1309443.401107,3.4411567511743075,1
MASc KA 40 blocks,large,sa,8.0,7,-379003.025899,-403387.805251,6.044996659437199,1
MASc KA 40 blocks,large,sa,8.0,14,-399703.805251,-403387.805251,0.9132650893369731,1
MASc KA 40 blocks,large,sa,8.0,14,-403387.805251,-403387.805251,0.0,1
MASc PG 40 blocks,large,sa,8.0,14,-1176624.2154929999,-1309443.401107,10.143178811830666,1
MASc PG 40 blocks,large,sa,8.0,14,-1169886.922699,-1309443.401107,10.657694581531304,1
MASc NI 18 blocks,medium,mip,2.0,1,-755749.635378,-755749.635378,0.0,1
MASc PG 18 blocks,medium,mip,2.0,1,-557762.276766,-557762.276766,0.0,1
MASc PG 18 blocks,medium,mip,2.0,1,-557762.276766,-557762.276766,0.0,1
MASc KA 18 blocks,medium,mip,2.0,1,-71386.134147,-71386.134147,0.0,1
MASc KA 18 blocks,medium,mip,2.0,1,-71386.134147,-71386.134147,0.0,1
MASc NI 18 blocks,medium,mip,2.0,1,-755749.635378,-755749.635378,0.0,1
MASc PG 18 blocks,medium,mip,4.0,1,-557762.276766,-557762.276766,0.0,1
MASc KA 18 blocks,medium,mip,4.0,1,-71386.134147,-71386.134147,0.0,1
MASc KA 18 blocks,medium,mip,4.0,1,-71386.134147,-71386.134147,0.0,1
MASc PG 18 blocks,medium,mip,4.0,1,-557762.276766,-557762.276766,0.0,1
MASc NI 18 blocks,medium,mip,4.0,1,-755749.635378,-755749.635378,0.0,1
MASc NI 18 blocks,medium,mip,4.0,1,-755749.635378,-755749.635378,0.0,1
MASc PG 18 blocks,medium,mip,8.0,1,-557762.276766,-557762.276766,0.0,1
MASc PG 18 blocks,medium,mip,8.0,1,-557762.276766,-557762.276766,0.0,1
MASc NI 18 blocks,medium,mip,8.0,1,-755749.635378,-755749.635378,0.0,1
MASc KA 18 blocks,medium,mip,8.0,1,-71386.134147,-71386.134147,0.0,1
MASc KA 18 blocks,medium,mip,8.0,1,-71386.134147,-71386.134147,0.0,1
MASc NI 18 blocks,medium,mip,8.0,1,-755749.635378,-755749.635378,0.0,1
MASc KA 18 blocks,medium,mip,16.0,1,-71386.134147,-71386.134147,0.0,1
MASc PG 18 blocks,medium,mip,16.0,1,-557762.276766,-557762.276766,0.0,1
MASc NI 18 blocks,medium,mip,16.0,1,-755749.635378,-755749.635378,0.0,1
MASc PG 18 blocks,medium,sa,2.0,1,-557762.276766,-557762.276766,0.0,1
MASc PG 18 blocks,medium,sa,2.0,1,-557762.276766,-557762.276766,0.0,1
MASc KA 18 blocks,medium,sa,2.0,1,-71386.134147,-71386.134147,0.0,1
MASc NI 18 blocks,medium,sa,2.0,1,-755749.635378,-755749.635378,0.0,1
MASc KA 18 blocks,medium,sa,2.0,1,-71386.134147,-71386.134147,0.0,1
MASc NI 18 blocks,medium,sa,2.0,1,-755749.635378,-755749.635378,0.0,1
MASc KA 18 blocks,medium,sa,2.0,7,-68051.35281899999,-71386.134147,4.6714692816015955,1
MASc KA 18 blocks,medium,sa,2.0,7,-71051.35281899999,-71386.134147,0.46897248604416975,1
MASc PG 18 blocks,medium,sa,2.0,7,-524862.276766,-557762.276766,5.8985702996552165,1
MASc NI 18 blocks,medium,sa,2.0,7,-722939.886696,-755749.635378,4.3413515728115,1
MASc NI 18 blocks,medium,sa,2.0,7,-723255.886696,-755749.635378,4.299538783865602,1
MASc PG 18 blocks,medium,sa,2.0,7,-524862.276766,-557762.276766,5.8985702996552165,1
MASc KA 18 blocks,medium,sa,2.0,14,-28381.405761000013,-71386.134147,60.242411078660794,1
MASc PG 18 blocks,medium,sa,2.0,14,-468484.983972,-557762.276766,16.006333972896982,1
MASc NI 18 blocks,medium,sa,2.0,14,-665064.5861739999,-755749.635378,11.99935070542806,1
MASc PG 18 blocks,medium,sa,2.0,14,-468484.983972,-557762.276766,16.006333972896982,1
MASc KA 18 blocks,medium,sa,2.0,14,-38040.31172300002,-71386.134147,46.71190396069562,1
MASc NI 18 blocks,medium,sa,2.0,14,-661748.5861739999,-755749.635378,12.438120351455273,1
MASc NI 18 blocks,medium,sa,4.0,1,-755749.635378,-755749.635378,0.0,1
MASc KA 18 blocks,medium,sa,4.0,1,-71386.134147,-71386.134147,0.0,1
MASc PG 18 blocks,medium,sa,4.0,1,-557762.276766,-557762.276766,0.0,1
MASc PG 18 blocks,medium,sa,4.0,1,-557762.276766,-557762.276766,0.0,1
MASc NI 18 blocks,medium,sa,4.0,1,-755749.635378,-755749.635378,0.0,1
MASc KA 18 blocks,medium,sa,4.0,1,-71386.134147,-71386.134147,0.0,1
MASc KA 18 blocks,medium,sa,4.0,7,-71051.35281899999,-71386.134147,0.46897248604416975,1
MASc PG 18 blocks,medium,sa,4.0,7,-524862.276766,-557762.276766,5.8985702996552165,1
MASc PG 18 blocks,medium,sa,4.0,7,-524862.276766,-557762.276766,5.8985702996552165,1
MASc NI 18 blocks,medium,sa,4.0,7,-722939.886696,-755749.635378,4.3413515728115,1
MASc KA 18 blocks,medium,sa,4.0,7,-68051.35281899999,-71386.134147,4.6714692816015955,1
MASc NI 18 blocks,medium,sa,4.0,7,-723255.886696,-755749.635378,4.299538783865602,1
MASc KA 18 blocks,medium,sa,4.0,14,-38040.31172300002,-71386.134147,46.71190396069562,1
MASc NI 18 blocks,medium,sa,4.0,14,-661748.5861739999,-755749.635378,12.438120351455273,1
MASc KA 18 blocks,medium,sa,4.0,14,-28381.405761000013,-71386.134147,60.242411078660794,1
MASc NI 18 blocks,medium,sa,4.0,14,-665064.5861739999,-755749.635378,11.99935070542806,1
MASc PG 18 blocks,medium,sa,4.0,14,-468484.983972,-557762.276766,16.006333972896982,1
MASc PG 18 blocks,medium,sa,4.0,14,-468484.983972,-557762.276766,16.006333972896982,1
MASc PG 18 blocks,medium,sa,8.0,1,-557762.276766,-557762.276766,0.0,1
MASc KA 18 blocks,medium,sa,8.0,1,-71386.134147,-71386.134147,0.0,1
MASc NI 18 blocks,medium,sa,8.0,1,-755749.635378,-755749.635378,0.0,1
MASc NI 18 blocks,medium,sa,8.0,1,-755749.635378,-755749.635378,0.0,1
MASc PG 18 blocks,medium,sa,8.0,1,-557762.276766,-557762.276766,0.0,1
MASc KA 18 blocks,medium,sa,8.0,1,-71386.134147,-71386.134147,0.0,1
MASc KA 18 blocks,medium,sa,8.0,7,-71051.35281899999,-71386.134147,0.46897248604416975,1
MASc KA 18 blocks,medium,sa,8.0,7,-68051.35281899999,-71386.134147,4.6714692816015955,1
MASc NI 18 blocks,medium,sa,8.0,7,-722939.886696,-755749.635378,4.3413515728115,1
MASc PG 18 blocks,medium,sa,8.0,7,-524862.276766,-557762.276766,5.8985702996552165,1
MASc NI 18 blocks,medium,sa,8.0,7,-723255.886696,-755749.635378,4.299538783865602,1
MASc PG 18 blocks,medium,sa,8.0,7,-524862.276766,-557762.276766,5.8985702996552165,1
MASc NI 18 blocks,medium,sa,8.0,14,-661748.5861739999,-755749.635378,12.438120351455273,1
MASc KA 18 blocks,medium,sa,8.0,14,-28381.405761000013,-71386.134147,60.242411078660794,1
MASc NI 18 blocks,medium,sa,8.0,14,-665064.5861739999,-755749.635378,11.99935070542806,1
MASc PG 18 blocks,medium,sa,8.0,14,-468484.983972,-557762.276766,16.006333972896982,1
MASc PG 18 blocks,medium,sa,8.0,14,-468484.983972,-557762.276766,16.006333972896982,1
MASc KA 18 blocks,medium,sa,8.0,14,-38040.31172300002,-71386.134147,46.71190396069562,1
MASc PG 18 blocks,medium,sa,16.0,1,-557762.276766,-557762.276766,0.0,1
MASc NI 18 blocks,medium,sa,16.0,1,-755749.635378,-755749.635378,0.0,1
MASc KA 18 blocks,medium,sa,16.0,1,-71386.134147,-71386.134147,0.0,1
MASc PG 18 blocks,medium,sa,16.0,7,-524862.276766,-557762.276766,5.8985702996552165,1
MASc NI 18 blocks,medium,sa,16.0,7,-722939.886696,-755749.635378,4.3413515728115,1
MASc KA 18 blocks,medium,sa,16.0,7,-68051.35281899999,-71386.134147,4.6714692816015955,1
MASc NI 18 blocks,medium,sa,16.0,14,-661748.5861739999,-755749.635378,12.438120351455273,1
MASc PG 18 blocks,medium,sa,16.0,14,-468484.983972,-557762.276766,16.006333972896982,1
MASc KA 18 blocks,medium,sa,16.0,14,-28381.405761000013,-71386.134147,60.242411078660794,1
MASc PG 6 blocks,small,mip,2.0,1,-67923.9629,-67923.9629,0.0,1
MASc PG 6 blocks,small,mip,2.0,1,-67923.9629,-67923.9629,0.0,1
MASc KA 6 blocks,small,mip,2.0,1,-30913.355595,-30913.355595,0.0,1
MASc KA 6 blocks,small,mip,2.0,1,-30913.355595,-30913.355595,0.0,1
MASc NI 6 blocks,small,mip,2.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc NI 6 blocks,small,mip,2.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc PG 6 blocks,small,mip,2.0,7,-44235.962900000006,-67923.9629,34.874290292623655,1
MASc KA 6 blocks,small,mip,2.0,7,-7225.355594999995,-30913.355595,76.62707442808751,1
MASc KA 6 blocks,small,mip,2.0,7,-7225.355594999995,-30913.355595,76.62707442808751,1
MASc PG 6 blocks,small,mip,2.0,7,-44235.962900000006,-67923.9629,34.874290292623655,1
MASc NI 6 blocks,small,mip,2.0,7,-299402.6437009998,-323090.64370099996,7.3316886334603755,1
MASc NI 6 blocks,small,mip,2.0,7,-299402.6437009998,-323090.64370099996,7.3316886334603755,1
MASc NI 6 blocks,small,mip,2.0,14,-271766.64370099996,-323090.64370099996,15.885325372497364,1
MASc NI 6 blocks,small,mip,2.0,14,-271766.64370099996,-323090.64370099996,15.885325372497364,1
MASc NI 6 blocks,small,mip,4.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc KA 6 blocks,small,mip,4.0,1,-30913.355595,-30913.355595,0.0,1
MASc KA 6 blocks,small,mip,4.0,1,-30913.355595,-30913.355595,0.0,1
MASc PG 6 blocks,small,mip,4.0,1,-67923.9629,-67923.9629,0.0,1
MASc PG 6 blocks,small,mip,4.0,1,-67923.9629,-67923.9629,0.0,1
MASc NI 6 blocks,small,mip,4.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc KA 6 blocks,small,mip,4.0,7,-7225.355594999995,-30913.355595,76.62707442808751,1
MASc PG 6 blocks,small,mip,4.0,7,-44235.962900000006,-67923.9629,34.874290292623655,1
MASc NI 6 blocks,small,mip,4.0,7,-299402.6437009998,-323090.64370099996,7.3316886334603755,1
MASc NI 6 blocks,small,mip,4.0,7,-299402.6437009998,-323090.64370099996,7.3316886334603755,1
MASc KA 6 blocks,small,mip,4.0,7,-7225.355594999995,-30913.355595,76.62707442808751,1
MASc PG 6 blocks,small,mip,4.0,7,-44235.962900000006,-67923.9629,34.874290292623655,1
MASc NI 6 blocks,small,mip,4.0,14,-271766.64370099996,-323090.64370099996,15.885325372497364,1
MASc KA 6 blocks,small,mip,4.0,14,,-30913.355595,,1
MASc KA 6 blocks,small,mip,4.0,14,,-30913.355595,,1
MASc NI 6 blocks,small,mip,4.0,14,-271766.64370099996,-323090.64370099996,15.885325372497364,1
MASc KA 6 blocks,small,mip,8.0,1,-30913.355595,-30913.355595,0.0,1
MASc NI 6 blocks,small,mip,8.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc PG 6 blocks,small,mip,8.0,1,-67923.9629,-67923.9629,0.0,1
MASc PG 6 blocks,small,mip,8.0,1,-67923.9629,-67923.9629,0.0,1
MASc NI 6 blocks,small,mip,8.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc KA 6 blocks,small,mip,8.0,1,-30913.355595,-30913.355595,0.0,1
MASc PG 6 blocks,small,mip,8.0,7,-44235.962900000006,-67923.9629,34.874290292623655,1
MASc NI 6 blocks,small,mip,8.0,7,-299402.6437009998,-323090.64370099996,7.3316886334603755,1
MASc KA 6 blocks,small,mip,8.0,7,-7225.355594999995,-30913.355595,76.62707442808751,1
MASc PG 6 blocks,small,mip,8.0,7,-44235.962900000006,-67923.9629,34.874290292623655,1
MASc NI 6 blocks,small,mip,8.0,7,-299402.6437009998,-323090.64370099996,7.3316886334603755,1
MASc KA 6 blocks,small,mip,8.0,7,-7225.355594999995,-30913.355595,76.62707442808751,1
MASc KA 6 blocks,small,mip,8.0,14,,-30913.355595,,1
MASc NI 6 blocks,small,mip,8.0,14,-271766.64370099996,-323090.64370099996,15.885325372497364,1
MASc PG 6 blocks,small,mip,8.0,14,,-67923.9629,,1
MASc KA 6 blocks,small,mip,8.0,14,,-30913.355595,,1
MASc NI 6 blocks,small,mip,8.0,14,-271766.64370099996,-323090.64370099996,15.885325372497364,1
MASc PG 6 blocks,small,mip,8.0,14,,-67923.9629,,1
MASc NI 6 blocks,small,mip,16.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc PG 6 blocks,small,mip,16.0,1,-67923.9629,-67923.9629,0.0,1
MASc KA 6 blocks,small,mip,16.0,1,-30913.355595,-30913.355595,0.0,1
MASc PG 6 blocks,small,mip,16.0,7,-44235.962900000006,-67923.9629,34.874290292623655,1
MASc KA 6 blocks,small,mip,16.0,7,-7225.355594999995,-30913.355595,76.62707442808751,1
MASc NI 6 blocks,small,mip,16.0,7,-299402.6437009998,-323090.64370099996,7.3316886334603755,1
MASc NI 6 blocks,small,mip,16.0,14,-271766.64370099996,-323090.64370099996,15.885325372497364,1
MASc PG 6 blocks,small,mip,16.0,14,,-67923.9629,,1
MASc KA 6 blocks,small,mip,16.0,14,,-30913.355595,,1
MASc KA 6 blocks,small,sa,2.0,1,-30913.355595,-30913.355595,0.0,1
MASc NI 6 blocks,small,sa,2.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc KA 6 blocks,small,sa,2.0,1,-30913.355595,-30913.355595,0.0,1
MASc PG 6 blocks,small,sa,2.0,1,-67923.9629,-67923.9629,0.0,1
MASc NI 6 blocks,small,sa,2.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc PG 6 blocks,small,sa,2.0,1,-67923.9629,-67923.9629,0.0,1
MASc NI 6 blocks,small,sa,2.0,7,-308614.64370099996,-323090.64370099996,4.480476387114641,1
MASc PG 6 blocks,small,sa,2.0,7,-52131.962900000006,-67923.9629,23.2495268617491,1
MASc KA 6 blocks,small,sa,2.0,7,-25437.355595,-30913.355595,17.71402649308541,1
MASc PG 6 blocks,small,sa,2.0,7,-53447.962900000006,-67923.9629,21.312066289936674,1
MASc NI 6 blocks,small,sa,2.0,7,-308614.64370099996,-323090.64370099996,4.480476387114641,1
MASc KA 6 blocks,small,sa,2.0,7,-25437.355595,-30913.355595,17.71402649308541,1
MASc KA 6 blocks,small,sa,2.0,14,-3381.355594999999,-30913.355595,89.0618293293695,1
MASc PG 6 blocks,small,sa,2.0,14,-28970.670106,-67923.9629,57.348380646383035,1
MASc PG 6 blocks,small,sa,2.0,14,-27654.670106,-67923.9629,59.285841218195465,1
MASc NI 6 blocks,small,sa,2.0,14,-280978.64370099996,-323090.64370099996,13.034113126151684,1
MASc NI 6 blocks,small,sa,2.0,14,-280978.64370099996,-323090.64370099996,13.034113126151684,1
MASc KA 6 blocks,small,sa,2.0,14,-381.3555949999991,-30913.355595,98.76637269665515,1
MASc KA 6 blocks,small,sa,4.0,1,-30913.355595,-30913.355595,0.0,1
MASc NI 6 blocks,small,sa,4.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc PG 6 blocks,small,sa,4.0,1,-67923.9629,-67923.9629,0.0,1
MASc PG 6 blocks,small,sa,4.0,1,-67923.9629,-67923.9629,0.0,1
MASc NI 6 blocks,small,sa,4.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc KA 6 blocks,small,sa,4.0,1,-30913.355595,-30913.355595,0.0,1
MASc PG 6 blocks,small,sa,4.0,7,-52131.962900000006,-67923.9629,23.2495268617491,1
MASc KA 6 blocks,small,sa,4.0,7,-25437.355595,-30913.355595,17.71402649308541,1
MASc NI 6 blocks,small,sa,4.0,7,-308614.64370099996,-323090.64370099996,4.480476387114641,1
MASc PG 6 blocks,small,sa,4.0,7,-53447.962900000006,-67923.9629,21.312066289936674,1
MASc NI 6 blocks,small,sa,4.0,7,-308614.64370099996,-323090.64370099996,4.480476387114641,1
MASc KA 6 blocks,small,sa,4.0,7,-25437.355595,-30913.355595,17.71402649308541,1
MASc KA 6 blocks,small,sa,4.0,14,-3381.355594999999,-30913.355595,89.0618293293695,1
MASc NI 6 blocks,small,sa,4.0,14,-280978.64370099996,-323090.64370099996,13.034113126151684,1
MASc NI 6 blocks,small,sa,4.0,14,-280978.64370099996,-323090.64370099996,13.034113126151684,1
MASc KA 6 blocks,small,sa,4.0,14,-381.3555949999991,-30913.355595,98.76637269665515,1
MASc PG 6 blocks,small,sa,4.0,14,-28970.670106,-67923.9629,57.348380646383035,1
MASc PG 6 blocks,small,sa,4.0,14,-27654.670106,-67923.9629,59.285841218195465,1
MASc NI 6 blocks,small,sa,8.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc PG 6 blocks,small,sa,8.0,1,-67923.9629,-67923.9629,0.0,1
MASc KA 6 blocks,small,sa,8.0,1,-30913.355595,-30913.355595,0.0,1
MASc KA 6 blocks,small,sa,8.0,1,-30913.355595,-30913.355595,0.0,1
MASc NI 6 blocks,small,sa,8.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc PG 6 blocks,small,sa,8.0,1,-67923.9629,-67923.9629,0.0,1
MASc NI 6 blocks,small,sa,8.0,7,-308614.64370099996,-323090.64370099996,4.480476387114641,1
MASc KA 6 blocks,small,sa,8.0,7,-25437.355595,-30913.355595,17.71402649308541,1
MASc PG 6 blocks,small,sa,8.0,7,-52131.962900000006,-67923.9629,23.2495268617491,1
MASc PG 6 blocks,small,sa,8.0,7,-53447.962900000006,-67923.9629,21.312066289936674,1
MASc NI 6 blocks,small,sa,8.0,7,-308614.64370099996,-323090.64370099996,4.480476387114641,1
MASc KA 6 blocks,small,sa,8.0,7,-25437.355595,-30913.355595,17.71402649308541,1
MASc PG 6 blocks,small,sa,8.0,14,-28970.670106,-67923.9629,57.348380646383035,1
MASc NI 6 blocks,small,sa,8.0,14,-280978.64370099996,-323090.64370099996,13.034113126151684,1
MASc KA 6 blocks,small,sa,8.0,14,-3381.355594999999,-30913.355595,89.0618293293695,1
MASc PG 6 blocks,small,sa,8.0,14,-27654.670106,-67923.9629,59.285841218195465,1
MASc KA 6 blocks,small,sa,8.0,14,-381.3555949999991,-30913.355595,98.76637269665515,1
MASc NI 6 blocks,small,sa,8.0,14,-280978.64370099996,-323090.64370099996,13.034113126151684,1
MASc PG 6 blocks,small,sa,16.0,1,-67923.9629,-67923.9629,0.0,1
MASc KA 6 blocks,small,sa,16.0,1,-30913.355595,-30913.355595,0.0,1
MASc NI 6 blocks,small,sa,16.0,1,-323090.64370099996,-323090.64370099996,0.0,1
MASc PG 6 blocks,small,sa,16.0,7,-52131.962900000006,-67923.9629,23.2495268617491,1
MASc NI 6 blocks,small,sa,16.0,7,-308614.64370099996,-323090.64370099996,4.480476387114641,1
MASc KA 6 blocks,small,sa,16.0,7,-25437.355595,-30913.355595,17.71402649308541,1
MASc PG 6 blocks,small,sa,16.0,14,-27654.670106,-67923.9629,59.285841218195465,1
MASc KA 6 blocks,small,sa,16.0,14,-381.3555949999991,-30913.355595,98.76637269665515,1
MASc NI 6 blocks,small,sa,16.0,14,-280978.64370099996,-323090.64370099996,13.034113126151684,1
