scenario,dataset_size,solver,theta_weeks,f_roll_days,final_objective,benchmark_objective,gap_percent,stability
MASc NI 40 blocks,large,mip,2.0,1,-1578930.499671,-1578930.499671,0.0,1
MASc NI 40 blocks,large,mip,2.0,1,-1578930.499671,-1578930.499671,0.0,1
MASc NI 40 blocks,large,mip,4.0,1,-1578930.499671,-1578930.499671,0.0,1
MASc NI 40 blocks,large,mip,4.0,1,-1578930.499671,-1578930.499671,0.0,1
MASc NI 40 blocks,large,mip,8.0,1,-1578930.499671,-1578930.499671,0.0,1
MASc NI 40 blocks,large,mip,8.0,1,-1578930.499671,-1578930.499671,0.0,1
MASc NI 40 blocks,large,sa,2.0,1,-1578930.499671,-1578930.499671,0.0,1
MASc PG 40 blocks,large,sa,2.0,1,-1309443.401107,-1309443.401107,0.0,1
MASc KA 40 blocks,large,sa,2.0,1,-393614.222773,-403387.805251,2.422875047479076,1
MASc KA 40 blocks,large,sa,2.0,1,-393614.222773,-403387.805251,2.422875047479076,1
MASc PG 40 blocks,large,sa,2.0,1,-1309443.401107,-1309443.401107,0.0,1
MASc NI 40 blocks,large,sa,2.0,1,-1578930.499671,-1578930.499671,0.0,1
MASc KA 40 blocks,large,sa,2.0,7,-385003.025899,-403387.805251,4.55759423380695,1
MASc NI 40 blocks,large,sa,2.0,7,-1532819.476543,-1578930.499671,2.9203959982791003,1
MASc PG 40 blocks,large,sa,2.0,7,-1266699.401107,-1309443.401107,3.2642877091032982,1
MASc PG 40 blocks,large,sa,2.0,7,-1264383.401107,-1309443.401107,3.4411567511743075,1
MASc KA 40 blocks,large,sa,2.0,7,-379003.025899,-403387.805251,6.044996659437199,1
MASc NI 40 blocks,large,sa,2.0,7,-1532819.476543,-1578930.499671,2.9203959982791003,1
MASc PG 40 blocks,large,sa,2.0,14,-1169886.922699,-1309443.401107,10.657694581531304,1
MASc KA 40 blocks,large,sa,2.0,14,-403387.805251,-403387.805251,0.0,1
MASc NI 40 blocks,large,sa,2.0,14,-1449799.476543,-1578930.499671,8.178385505562593,1
MASc KA 40 blocks,large,sa,2.0,14,-399703.805251,-403387.805251,0.9132650893369731,1
MASc PG 40 blocks,large,sa,2.0,14,-1176624.2154929999,-1309443.401107,10.143178811830666,1
MASc NI 40 blocks,large,sa,2.0,14,-1448799.476543,-1578930.499671,8.241719515527462,1
