file,scenario,solver,mip_solver,time_limit_s,iteration_index,start_day,horizon_days,lock_days,locked_assignments,objective,solver_status,termination_condition,runtime_s_heuristic
ni_6_sub56_lock7_sa_20260305_123224.json,MASc NI 6 blocks,sa,,,0,1,56,7,99,-143794.643701,,,
ni_6_sub56_lock7_sa_20260305_123224.json,MASc NI 6 blocks,sa,,,1,8,49,7,100,-230114.643701,,,
ni_6_sub56_lock7_sa_20260305_123224.json,MASc NI 6 blocks,sa,,,2,15,42,7,100,-184750.643701,,,
ni_6_sub56_lock7_sa_20260305_123224.json,MASc NI 6 blocks,sa,,,3,22,35,7,101,-206386.643701,,,
ni_6_sub56_lock7_sa_20260305_123224.json,MASc NI 6 blocks,sa,,,4,29,28,7,103,-228022.64370099996,,,
ni_6_sub56_lock7_sa_20260305_123224.json,MASc NI 6 blocks,sa,,,5,36,21,7,101,-255658.64370099996,,,
ni_6_sub56_lock7_sa_20260305_123224.json,MASc NI 6 blocks,sa,,,6,43,14,7,103,-280978.64370099996,,,
ni_6_sub56_lock7_sa_20260305_123224.json,MASc NI 6 blocks,sa,,,7,50,7,7,103,-308614.64370099996,,,
ni_40_sub56_lock7_sa_20260305_210039.json,MASc NI 40 blocks,sa,,,0,1,56,7,308,-893012.519225,,,
ni_40_sub56_lock7_sa_20260305_210039.json,MASc NI 40 blocks,sa,,,1,8,49,7,305,-976232.0606410002,,,
ni_40_sub56_lock7_sa_20260305_210039.json,MASc NI 40 blocks,sa,,,2,15,42,7,312,-1023312.872675,,,
ni_40_sub56_lock7_sa_20260305_210039.json,MASc NI 40 blocks,sa,,,3,22,35,7,320,-1340215.186255,,,
ni_40_sub56_lock7_sa_20260305_210039.json,MASc NI 40 blocks,sa,,,4,29,28,7,306,-1223763.476543,,,
ni_40_sub56_lock7_sa_20260305_210039.json,MASc NI 40 blocks,sa,,,5,36,21,7,309,-1354835.476543,,,
ni_40_sub56_lock7_sa_20260305_210039.json,MASc NI 40 blocks,sa,,,6,43,14,7,311,-1449799.476543,,,
ni_40_sub56_lock7_sa_20260305_210039.json,MASc NI 40 blocks,sa,,,7,50,7,7,316,-1532819.476543,,,
pg_6_sub28_lock7_sa_20260302_062339.json,MASc PG 6 blocks,sa,,,0,1,28,7,104,11413.260361999997,,,
pg_6_sub28_lock7_sa_20260302_062339.json,MASc PG 6 blocks,sa,,,1,8,21,7,102,-6282.670106000001,,,
pg_6_sub28_lock7_sa_20260302_062339.json,MASc PG 6 blocks,sa,,,2,15,14,7,103,-27654.670106,,,
pg_6_sub28_lock7_sa_20260302_062339.json,MASc PG 6 blocks,sa,,,3,22,7,7,105,-52131.962900000006,,,
