solver,theta_weeks,continuity_index
mip,2.0,0.28122411561563077
mip,4.0,0.22761251470291746
mip,8.0,0.09169805729206525
mip,16.0,0.05838883947172968
sa,2.0,0.19487424814930496
sa,4.0,0.21705646135046738
sa,8.0,0.2618291435991242
sa,16.0,0.27264966732566415
