machine_id,block_id,day,shift_id,assigned
fb_01,B107189,1,S1,1
fb_02,B121928,1,S1,1
fb_03,B110288,1,S1,1
fb_04,B127158,1,S1,1
fb_05,B117387,1,S1,1
fb_06,B117387,1,S1,1
fb_01,B108060,1,S2,1
fb_02,B126413,1,S2,1
fb_03,B110471,1,S2,1
fb_04,B109915,1,S2,1
fb_05,B117387,1,S2,1
fb_06,B121154,1,S2,1
fb_01,B108124,1,S3,1
fb_02,B109915,1,S3,1
fb_03,B113324,1,S3,1
fb_04,B126589,1,S3,1
fb_05,B121154,1,S3,1
fb_06,B111867,1,S3,1
fb_01,B108339,2,S1,1
fb_02,B126589,2,S1,1
fb_03,B120266,2,S1,1
fb_04,B127158,2,S1,1
fb_05,B111867,2,S1,1
fb_06,B111480,2,S1,1
sk_01,B108060,2,S1,1
sk_02,B108124,2,S1,1
sk_03,B108124,2,S1,1
sk_04,B111867,2,S1,1
sk_05,B111867,2,S1,1
sk_06,B111867,2,S1,1
fb_01,B109340,2,S2,1
fb_02,B126869,2,S2,1
fb_03,B126413,2,S2,1
fb_04,B126589,2,S2,1
fb_05,B111480,2,S2,1
fb_06,B111480,2,S2,1
sk_01,B111867,2,S2,1
sk_02,B107189,2,S2,1
sk_03,B117387,2,S2,1
sk_04,B117387,2,S2,1
sk_05,B117387,2,S2,1
sk_06,B127158,2,S2,1
fb_01,B109517,2,S3,1
fb_02,B127158,2,S3,1
fb_03,B126589,2,S3,1
fb_04,B127158,2,S3,1
fb_05,B111480,2,S3,1
fb_06,B111480,2,S3,1
sk_01,B127158,2,S3,1
sk_02,B126589,2,S3,1
sk_03,B126589,2,S3,1
sk_04,B109915,2,S3,1
sk_05,B109915,2,S3,1
sk_06,B109915,2,S3,1
fb_01,B109915,3,S1,1
fb_02,B145584,3,S1,1
fb_03,B126869,3,S1,1
fb_04,B126589,3,S1,1
fb_05,B111480,3,S1,1
fb_06,B111480,3,S1,1
pr_01,B111867,3,S1,1
pr_02,B109915,3,S1,1
pr_03,B108124,3,S1,1
pr_04,B126589,3,S1,1
pr_05,B127158,3,S1,1
pr_06,B108060,3,S1,1
sk_01,B109517,3,S1,1
sk_02,B111867,3,S1,1
sk_03,B111867,3,S1,1
sk_04,B111867,3,S1,1
sk_05,B111867,3,S1,1
sk_06,B111867,3,S1,1
fb_01,B110288,3,S2,1
fb_02,B111480,3,S2,1
fb_03,B111480,3,S2,1
fb_04,B127158,3,S2,1
fb_05,B111480,3,S2,1
fb_06,B111480,3,S2,1
pr_01,B117387,3,S2,1
pr_02,B117387,3,S2,1
pr_03,B117387,3,S2,1
sk_01,B108339,3,S2,1
sk_02,B127158,3,S2,1
sk_03,B127158,3,S2,1
sk_04,B127158,3,S2,1
sk_05,B127158,3,S2,1
sk_06,B127158,3,S2,1
fb_01,B110471,3,S3,1
fb_02,B44010,3,S3,1
fb_03,B145584,3,S3,1
fb_04,B126589,3,S3,1
fb_05,B111480,3,S3,1
fb_06,B111480,3,S3,1
sk_01,B127158,3,S3,1
sk_02,B127158,3,S3,1
sk_03,B127158,3,S3,1
sk_04,B126589,3,S3,1
sk_05,B126589,3,S3,1
sk_06,B126589,3,S3,1
fb_01,B111410,4,S1,1
fb_02,B55424,4,S1,1
fb_03,B68233,4,S1,1
fb_04,B127158,4,S1,1
fb_05,B111480,4,S1,1
fb_06,B111480,4,S1,1
ld_01,B109915,4,S1,1
ld_02,B108124,4,S1,1
ld_03,B111867,4,S1,1
ld_04,B117387,4,S1,1
ld_05,B117387,4,S1,1
pr_01,B111867,4,S1,1
pr_02,B111867,4,S1,1
pr_03,B111867,4,S1,1
pr_04,B126589,4,S1,1
pr_05,B126589,4,S1,1
pr_06,B127158,4,S1,1
sk_01,B44010,4,S1,1
sk_02,B127158,4,S1,1
sk_03,B127158,4,S1,1
sk_04,B126589,4,S1,1
sk_05,B126589,4,S1,1
sk_06,B126589,4,S1,1
fb_01,B111480,4,S2,1
fb_02,B68233,4,S2,1
fb_03,B107189,4,S2,1
fb_04,B126589,4,S2,1
fb_05,B111480,4,S2,1
fb_06,B111480,4,S2,1
pr_01,B127158,4,S2,1
pr_02,B127158,4,S2,1
pr_03,B127158,4,S2,1
pr_04,B127158,4,S2,1
pr_05,B127158,4,S2,1
sk_01,B126589,4,S2,1
sk_02,B126589,4,S2,1
sk_03,B126589,4,S2,1
sk_04,B126589,4,S2,1
sk_05,B126589,4,S2,1
sk_06,B126589,4,S2,1
fb_01,B111480,4,S3,1
fb_02,B107189,4,S3,1
fb_03,B109915,4,S3,1
fb_04,B127158,4,S3,1
fb_05,B111480,4,S3,1
fb_06,B111480,4,S3,1
sk_01,B126589,4,S3,1
sk_02,B126589,4,S3,1
sk_03,B109915,4,S3,1
sk_04,B109915,4,S3,1
sk_05,B109915,4,S3,1
sk_06,B109915,4,S3,1
fb_01,B112038,5,S1,1
fb_02,B108060,5,S1,1
fb_03,B110288,5,S1,1
fb_04,B126589,5,S1,1
fb_05,B124193,5,S1,1
fb_06,B124193,5,S1,1
ld_01,B127158,5,S1,1
ld_02,B127158,5,S1,1
ld_03,B127158,5,S1,1
ld_04,B127158,5,S1,1
ld_05,B127158,5,S1,1
ld_06,B126589,5,S1,1
pr_01,B109915,5,S1,1
pr_02,B44010,5,S1,1
pr_03,B126589,5,S1,1
pr_04,B109915,5,S1,1
pr_05,B126589,5,S1,1
pr_06,B126589,5,S1,1
sk_01,B55424,5,S1,1
sk_02,B107189,5,S1,1
sk_03,B107189,5,S1,1
sk_04,B107189,5,S1,1
sk_05,B107189,5,S1,1
sk_06,B68233,5,S1,1
fb_01,B112990,5,S2,1
fb_02,B108339,5,S2,1
fb_03,B110471,5,S2,1
fb_04,B127158,5,S2,1
fb_05,B124193,5,S2,1
fb_06,B124193,5,S2,1
ld_01,B126589,5,S2,1
ld_02,B111867,5,S2,1
ld_03,B111867,5,S2,1
ld_04,B111867,5,S2,1
ld_05,B111867,5,S2,1
ld_06,B111867,5,S2,1
pr_01,B126589,5,S2,1
pr_02,B126589,5,S2,1
pr_03,B126589,5,S2,1
pr_04,B126589,5,S2,1
pr_05,B126589,5,S2,1
pr_06,B127158,5,S2,1
sk_01,B68233,5,S2,1
sk_02,B68233,5,S2,1
sk_03,B68233,5,S2,1
sk_04,B68233,5,S2,1
