machine_id,block_id,day,shift_id,assigned
fb_01,B76352,1,S1,1
fb_02,B74735,1,S1,1
fb_01,B77363,1,S2,1
fb_02,B74735,1,S2,1
fb_01,B76352,1,S3,1
fb_02,B74735,1,S3,1
fb_01,B74735,2,S1,1
fb_02,B76352,2,S1,1
sk_01,B74735,2,S1,1
sk_02,B77363,2,S1,1
fb_01,B77363,2,S2,1
fb_02,B74735,2,S2,1
sk_01,B77363,2,S2,1
fb_01,B77363,2,S3,1
fb_02,B74735,2,S3,1
fb_01,B77363,3,S1,1
fb_02,B77363,3,S1,1
pr_01,B77363,3,S1,1
sk_01,B74735,3,S1,1
sk_02,B77363,3,S1,1
fb_01,B76319,3,S2,1
fb_02,B74735,3,S2,1
pr_01,B74735,3,S2,1
sk_01,B77363,3,S2,1
sk_02,B77363,3,S2,1
fb_01,B76319,3,S3,1
fb_02,B74735,3,S3,1
sk_01,B77363,3,S3,1
sk_02,B76352,3,S3,1
fb_01,B77363,4,S1,1
fb_02,B74735,4,S1,1
ld_01,B77363,4,S1,1
pr_01,B77363,4,S1,1
sk_01,B77363,4,S1,1
sk_02,B74735,4,S1,1
fb_01,B74735,4,S2,1
fb_02,B74735,4,S2,1
pr_01,B77363,4,S2,1
sk_01,B77363,4,S2,1
sk_02,B77363,4,S2,1
fb_01,B74735,4,S3,1
fb_02,B74735,4,S3,1
pr_01,B77363,4,S3,1
sk_01,B77363,4,S3,1
fb_01,B76352,5,S1,1
fb_02,B76352,5,S1,1
ld_01,B77363,5,S1,1
pr_01,B77363,5,S1,1
sk_01,B74735,5,S1,1
sk_02,B74735,5,S1,1
fb_01,B76352,5,S2,1
fb_02,B76352,5,S2,1
ld_01,B77363,5,S2,1
pr_01,B77363,5,S2,1
sk_01,B74735,5,S2,1
sk_02,B77363,5,S2,1
fb_01,B76352,5,S3,1
fb_02,B76352,5,S3,1
ld_01,B77363,5,S3,1
pr_01,B77363,5,S3,1
sk_01,B77363,5,S3,1
fb_01,B76352,6,S1,1
fb_02,B76352,6,S1,1
ld_01,B77363,6,S1,1
pr_01,B77363,6,S1,1
sk_01,B76352,6,S1,1
sk_02,B76352,6,S1,1
fb_01,B76352,6,S2,1
fb_02,B76352,6,S2,1
ld_01,B77363,6,S2,1
pr_01,B74735,6,S2,1
fb_01,B76352,6,S3,1
fb_02,B76352,6,S3,1
ld_01,B77363,6,S3,1
pr_01,B74735,6,S3,1
fb_01,B76352,7,S1,1
fb_02,B76352,7,S1,1
ld_01,B77363,7,S1,1
pr_01,B74735,7,S1,1
sk_01,B76352,7,S1,1
sk_02,B76352,7,S1,1
fb_01,B76352,7,S2,1
fb_02,B76352,7,S2,1
ld_01,B74735,7,S2,1
pr_01,B74735,7,S2,1
fb_01,B76319,7,S3,1
fb_02,B77363,7,S3,1
pr_01,B74735,7,S3,1
fb_01,B76352,8,S1,1
fb_02,B76352,8,S1,1
ld_01,B74735,8,S1,1
pr_01,B74735,8,S1,1
sk_01,B77363,8,S1,1
sk_02,B77363,8,S1,1
fb_01,B77363,8,S2,1
fb_02,B77363,8,S2,1
ld_01,B74735,8,S2,1
pr_01,B74735,8,S2,1
sk_01,B76352,8,S2,1
sk_02,B76319,8,S2,1
fb_01,B77363,8,S3,1
fb_02,B76352,8,S3,1
pr_01,B74735,8,S3,1
sk_01,B77363,8,S3,1
fb_01,B76352,9,S1,1
fb_02,B76352,9,S1,1
ld_01,B74735,9,S1,1
pr_01,B74735,9,S1,1
sk_01,B77363,9,S1,1
sk_02,B77363,9,S1,1
fb_01,B76352,9,S2,1
fb_02,B76352,9,S2,1
ld_01,B74735,9,S2,1
pr_01,B74735,9,S2,1
sk_01,B77363,9,S2,1
sk_02,B77363,9,S2,1
fb_01,B76352,9,S3,1
fb_02,B74735,9,S3,1
pr_01,B77363,9,S3,1
sk_01,B76352,9,S3,1
sk_02,B77363,9,S3,1
fb_01,B76352,10,S1,1
fb_02,B76319,10,S1,1
ld_01,B74735,10,S1,1
pr_01,B77363,10,S1,1
sk_01,B76352,10,S1,1
sk_02,B77363,10,S1,1
fb_01,B76319,10,S2,1
fb_02,B76319,10,S2,1
ld_01,B74735,10,S2,1
pr_01,B77363,10,S2,1
sk_01,B74735,10,S2,1
sk_02,B76352,10,S2,1
fb_01,B76319,10,S3,1
fb_02,B76319,10,S3,1
ld_01,B77363,10,S3,1
pr_01,B77363,10,S3,1
fb_01,B76319,11,S1,1
fb_02,B76319,11,S1,1
ld_01,B77363,11,S1,1
pr_01,B77363,11,S1,1
sk_01,B76352,11,S1,1
sk_02,B76319,11,S1,1
fb_01,B76352,11,S2,1
fb_02,B76319,11,S2,1
ld_01,B77363,11,S2,1
pr_01,B77363,11,S2,1
fb_01,B76319,11,S3,1
fb_02,B76319,11,S3,1
ld_01,B77363,11,S3,1
pr_01,B77363,11,S3,1
fb_01,B76319,12,S1,1
fb_02,B76352,12,S1,1
ld_01,B77363,12,S1,1
pr_01,B77363,12,S1,1
sk_01,B76319,12,S1,1
sk_02,B76319,12,S1,1
fb_01,B76319,12,S2,1
fb_02,B76319,12,S2,1
ld_01,B77363,12,S2,1
pr_01,B77363,12,S2,1
fb_01,B76319,12,S3,1
fb_02,B76319,12,S3,1
ld_01,B77363,12,S3,1
pr_01,B76352,12,S3,1
fb_01,B76319,13,S1,1
fb_02,B76319,13,S1,1
ld_01,B77363,13,S1,1
pr_01,B77363,13,S1,1
sk_01,B76352,13,S1,1
sk_02,B76319,13,S1,1
fb_01,B76319,13,S2,1
fb_02,B76319,13,S2,1
ld_01,B77363,13,S2,1
pr_01,B76352,13,S2,1
sk_01,B76319,13,S2,1
fb_01,B76319,13,S3,1
fb_02,B76319,13,S3,1
