machine_id,block_id,day,shift_id,assigned
fb_01,B10132,1,S1,1
fb_02,B30358,1,S1,1
fb_03,B18200,1,S1,1
fb_04,B30103,1,S1,1
fb_05,B14953,1,S1,1
fb_06,B14953,1,S1,1
fb_01,B10411,1,S2,1
fb_02,B32707,1,S2,1
fb_03,B5817,1,S2,1
fb_04,B14953,1,S2,1
fb_05,B14953,1,S2,1
fb_06,B10412,1,S2,1
fb_01,B32707,1,S3,1
fb_02,B35154,1,S3,1
fb_03,B9658,1,S3,1
fb_04,B14953,1,S3,1
fb_05,B14953,1,S3,1
fb_06,B32707,1,S3,1
fb_01,B11042,2,S1,1
fb_02,B5218,2,S1,1
fb_03,B18200,2,S1,1
fb_04,B14953,2,S1,1
fb_05,B14953,2,S1,1
fb_06,B32707,2,S1,1
sk_01,B10412,2,S1,1
sk_02,B9658,2,S1,1
sk_03,B9658,2,S1,1
sk_04,B10411,2,S1,1
sk_05,B10411,2,S1,1
sk_06,B10412,2,S1,1
fb_01,B11805,2,S2,1
fb_02,B5817,2,S2,1
fb_03,B5817,2,S2,1
fb_04,B14953,2,S2,1
fb_05,B14953,2,S2,1
fb_06,B32707,2,S2,1
sk_01,B10132,2,S2,1
sk_02,B9658,2,S2,1
sk_03,B10132,2,S2,1
sk_04,B10132,2,S2,1
sk_05,B10132,2,S2,1
sk_06,B5817,2,S2,1
fb_01,B13384,2,S3,1
fb_02,B6017,2,S3,1
fb_03,B9658,2,S3,1
fb_04,B30099,2,S3,1
fb_05,B30099,2,S3,1
fb_06,B32707,2,S3,1
sk_01,B5817,2,S3,1
sk_02,B5817,2,S3,1
sk_03,B18200,2,S3,1
sk_04,B18200,2,S3,1
sk_05,B32707,2,S3,1
sk_06,B32707,2,S3,1
fb_01,B14527,3,S1,1
fb_02,B9658,3,S1,1
fb_03,B18200,3,S1,1
fb_04,B30099,3,S1,1
fb_05,B30099,3,S1,1
fb_06,B32707,3,S1,1
pr_01,B10411,3,S1,1
pr_02,B10412,3,S1,1
pr_03,B10132,3,S1,1
pr_04,B10132,3,S1,1
pr_05,B9658,3,S1,1
pr_06,B5817,3,S1,1
sk_01,B11042,3,S1,1
sk_02,B9658,3,S1,1
sk_03,B11042,3,S1,1
sk_04,B11805,3,S1,1
sk_05,B6017,3,S1,1
sk_06,B6017,3,S1,1
fb_01,B18032,3,S2,1
fb_02,B10132,3,S2,1
fb_03,B5817,3,S2,1
fb_04,B30099,3,S2,1
fb_05,B30099,3,S2,1
fb_06,B32707,3,S2,1
pr_01,B18200,3,S2,1
sk_01,B11042,3,S2,1
sk_02,B9658,3,S2,1
sk_03,B9658,3,S2,1
sk_04,B6017,3,S2,1
sk_05,B6017,3,S2,1
sk_06,B11042,3,S2,1
fb_01,B18200,3,S3,1
fb_02,B18032,3,S3,1
fb_03,B9658,3,S3,1
fb_04,B30099,3,S3,1
fb_05,B30099,3,S3,1
fb_06,B32707,3,S3,1
sk_01,B5218,3,S3,1
sk_02,B11805,3,S3,1
sk_03,B11805,3,S3,1
sk_04,B11805,3,S3,1
sk_05,B11805,3,S3,1
sk_06,B13384,3,S3,1
fb_01,B20149,4,S1,1
fb_02,B18200,4,S1,1
fb_03,B18200,4,S1,1
fb_04,B30099,4,S1,1
fb_05,B30099,4,S1,1
fb_06,B32707,4,S1,1
ld_01,B9658,4,S1,1
ld_02,B10132,4,S1,1
ld_03,B10132,4,S1,1
ld_04,B10411,4,S1,1
