machine_id,block_id,day,shift_id,assigned
fb_01,B77363,1,S1,1
fb_02,B86553,1,S1,1
fb_03,B86553,1,S1,1
fb_04,B88642,1,S1,1
fb_05,B88642,1,S1,1
fb_06,B92731,1,S1,1
fb_01,B78910,1,S2,1
fb_02,B86553,1,S2,1
fb_03,B86553,1,S2,1
fb_04,B92731,1,S2,1
fb_05,B92731,1,S2,1
fb_06,B98430,1,S2,1
fb_01,B82792,1,S3,1
fb_02,B86553,1,S3,1
fb_03,B86553,1,S3,1
fb_04,B92731,1,S3,1
fb_05,B92731,1,S3,1
fb_06,B92731,1,S3,1
fb_01,B84093,2,S1,1
fb_02,B86553,2,S1,1
fb_03,B86553,2,S1,1
fb_04,B79027,2,S1,1
fb_05,B79027,2,S1,1
fb_06,B81877,2,S1,1
sk_01,B77363,2,S1,1
sk_02,B78910,2,S1,1
sk_03,B82792,2,S1,1
sk_04,B88642,2,S1,1
sk_05,B88642,2,S1,1
sk_06,B88642,2,S1,1
fb_01,B86575,2,S2,1
fb_02,B81877,2,S2,1
fb_03,B78567,2,S2,1
fb_04,B78567,2,S2,1
fb_05,B86575,2,S2,1
fb_06,B92731,2,S2,1
sk_01,B86553,2,S2,1
sk_02,B86553,2,S2,1
sk_03,B88642,2,S2,1
sk_04,B88642,2,S2,1
sk_05,B88642,2,S2,1
sk_06,B88642,2,S2,1
fb_01,B92962,2,S3,1
fb_02,B78567,2,S3,1
fb_03,B78567,2,S3,1
fb_04,B92962,2,S3,1
fb_05,B86575,2,S3,1
fb_06,B92962,2,S3,1
sk_01,B86553,2,S3,1
sk_02,B86553,2,S3,1
sk_03,B88642,2,S3,1
sk_04,B92731,2,S3,1
sk_05,B92731,2,S3,1
sk_06,B86553,2,S3,1
fb_01,B88901,3,S1,1
fb_02,B86857,3,S1,1
fb_03,B86857,3,S1,1
fb_04,B92962,3,S1,1
fb_05,B92962,3,S1,1
fb_06,B92962,3,S1,1
pr_01,B86553,3,S1,1
pr_02,B86553,3,S1,1
pr_03,B88642,3,S1,1
pr_04,B88642,3,S1,1
pr_05,B88642,3,S1,1
pr_06,B92731,3,S1,1
sk_01,B79027,3,S1,1
sk_02,B79027,3,S1,1
sk_03,B81877,3,S1,1
sk_04,B81877,3,S1,1
sk_05,B78567,3,S1,1
sk_06,B78567,3,S1,1
fb_01,B91173,3,S2,1
fb_02,B86857,3,S2,1
fb_03,B86857,3,S2,1
fb_04,B92962,3,S2,1
fb_05,B92962,3,S2,1
fb_06,B92962,3,S2,1
pr_01,B86553,3,S2,1
