id,work_required,volume_per_ha,stem_density_per_ha,area_ha,ground_slope_percent,harvest_system_id
42891,16531.515240501627,209.62373684210527,787.6842105263158,78.86280193999998,12.291017050404497,ground_fb_loader_liveheel
44010,16417.58922894522,201.2865,401.5,81.56329028,4.068356171136823,ground_fb_loader_liveheel
45231,4342.64639660418,234.838,395.0,18.49209411,0.931256771087646,ground_fb_loader_liveheel
53160,5254.566462729355,177.8545,646.5,29.54418619,2.711848838762803,ground_fb_loader_liveheel
55424,20477.68033575777,198.76525000000004,847.75,103.02444887,9.463012146949769,ground_fb_loader_liveheel
65573,4899.96523424566,168.901,188.0,29.01087166,24.776530265808105,ground_fb_loader_liveheel
68233,49962.42480774442,303.411,458.75,164.66912803999995,20.28972891827925,ground_fb_loader_liveheel
107189,33010.24432492582,253.77254545454545,725.6363636363635,130.07807549,33.8772223182224,ground_fb_loader_liveheel
108060,10483.978307689234,206.31933333333336,584.3333333333334,50.81432815,12.443338123957316,ground_fb_loader_liveheel
108124,14612.148451578845,321.7420000000001,585.5714285714286,45.41573202000001,11.617334582311944,ground_fb_loader_liveheel
108339,18887.153315406213,208.7868571428572,748.1428571428571,90.46140918,14.101802592090404,ground_fb_loader_liveheel
109340,35996.42998941902,282.25777777777773,311.22222222222223,127.53033866,21.95292817236388,ground_fb_loader_liveheel
109517,3869.0388707597504,339.7825,575.5,11.3868103,37.24014076282238,ground_fb_loader_liveheel
109915,129468.22589554834,364.89405263157903,570.5789473684209,354.81045789000007,13.184875906174671,ground_fb_loader_liveheel
110288,78298.68909776823,297.59242857142857,434.03571428571433,263.10712767000007,15.462844961924892,ground_fb_loader_liveheel
110471,47256.7155391418,236.9865,404.8,199.40678283,9.598032536199018,ground_fb_loader_liveheel
111410,28860.3316094142,327.27,652.0,88.18508146,12.221677700678509,ground_fb_loader_liveheel
111480,39132.933655857785,284.325375,321.625,137.6343341,4.322925399222339,ground_fb_loader_liveheel
