machine_id,block_id,rate
fb_01,B74735,389.585966
fb_01,B76319,188.631449
fb_01,B76352,193.190788
fb_01,B77252,97.136203
fb_01,B77300,154.969991
fb_01,B77363,1335.02464
fb_02,B74735,389.585966
fb_02,B76319,188.631449
fb_02,B76352,193.190788
fb_02,B77252,97.136203
fb_02,B77300,154.969991
fb_02,B77363,1335.02464
sk_01,B74735,813.569005
sk_01,B76319,526.26987
sk_01,B76352,527.50405
sk_01,B77252,710.126619
sk_01,B77300,1130.354574
sk_01,B77363,621.729133
sk_02,B74735,813.569005
sk_02,B76319,526.26987
sk_02,B76352,527.50405
sk_02,B77252,710.126619
sk_02,B77300,1130.354574
sk_02,B77363,621.729133
pr_01,B74735,422.489891
pr_01,B76319,310.944969
pr_01,B76352,324.001639
pr_01,B77252,258.722148
pr_01,B77300,494.585528
pr_01,B77363,704.378343
ld_01,B74735,658.0
ld_01,B76319,658.0
ld_01,B76352,658.0
ld_01,B77252,658.0
ld_01,B77300,658.0
ld_01,B77363,658.0
