FID_TSA_AuthorizedBlocks,FIRST_TSNMBRDSCR,MEAN_LIVE_STAND_VOLUME_125,SUM_FEATURE_AREA_HA,MEAN_VRI_LIVE_STEMS_PER_HA,MEAN_MEAN,rand_val,Stand_Volume_m3,Shape_Length,Shape_Area
42891,Prince George TSA,209.623736842105302,78.862801939999983,787.684210526315837,12.291017050404497,9.88494521927549E-02,16531.515240501626977,16342.304190794127862,312466.565789127431344
44010,Prince George TSA,201.286500000000018,81.563290280000004,401.500000000000000,4.068356171136823,9.88799707022309E-03,16417.589228945224022,11495.482032383228216,533707.063574301893823
45231,Prince George TSA,234.838000000000022,18.492094110000000,395.000000000000000,0.931256771087646,9.90020447401349E-02,4342.646396604180154,1191.025254444495886,218.296734641245365
53160,Prince George TSA,177.854500000000002,29.544186189999998,646.500000000000000,2.711848838762803,9.99176000244148E-02,5254.566462729354498,672.033621305604356,4453.467431019164906
55424,Prince George TSA,198.765250000000037,103.024448870000001,847.750000000000000,9.463012146949769,9.97039704580828E-02,20477.680335757770081,2512.866196602979471,5553.494955948122879
65573,Prince George TSA,168.901000000000010,29.010871659999999,188.000000000000000,24.776530265808105,9.85747856074709E-03,4899.965234245660213,545.449803404276281,11018.732842593126406
68233,Prince George TSA,303.411000000000001,164.669128039999975,458.750000000000000,20.289728918279252,9.93987853633229E-02,49962.424807744435384,2277.867174165131473,265797.953087638015859
107189,Prince George TSA,253.772545454545451,130.078075490000003,725.636363636363626,33.877222318222401,9.87273781548509E-02,33010.244324925821275,6489.861462176970235,203808.194447266811039
108060,Prince George TSA,206.319333333333361,50.814328150000001,584.333333333333371,12.443338123957316,9.8269600512711E-03,10483.978307689234498,1508.827160878886161,2512.746900226472917
108124,Prince George TSA,321.742000000000075,45.415732020000007,585.571428571428555,11.617334582311944,9.90020447401349E-02,14612.148451578845197,8361.881746776278305,215534.216914591961540
108339,Prince George TSA,208.786857142857173,90.461409179999990,748.142857142857110,14.101802592090404,9.88494521927549E-02,18887.153315406205365,7009.229901116153997,86581.843156301751151
109340,Prince George TSA,282.257777777777790,127.530338659999998,311.222222222222229,21.952928172363880,9.86053041169469E-02,35996.429989419026242,4847.270746165166202,66358.551022382438532
109517,Prince George TSA,339.782500000000027,11.386810300000000,575.500000000000000,37.240140762822378,9.69878231147191E-02,3869.038870759750353,1907.405896867422598,42746.594000890654570
109915,Prince George TSA,364.894052631579029,354.810457890000066,570.578947368421041,13.184875906174673,9.71098971526231E-02,129468.225895548341214,11514.394664343179102,482269.304552413348574
110288,Prince George TSA,297.592428571428570,263.107127670000068,434.035714285714278,15.462844961924892,9.99786370433668E-02,78298.689097768234205,16137.927757905992621,1579689.407446619821712
110471,Prince George TSA,236.986499999999978,199.406782829999997,404.800000000000011,9.598032536199018,9.83611560411389E-02,47256.715539141790941,4425.152002482319403,36060.881517730245832
111410,Prince George TSA,327.269999999999982,88.185081460000006,652.000000000000000,12.221677700678507,9.85137485885189E-02,28860.331609414199193,255.780111087693399,1193.468358545311048
111480,Prince George TSA,284.325375000000008,137.634334099999990,321.625000000000000,4.322925399222339,9.99481185338908E-02,39132.933655857785197,3921.458082729713624,717713.202897152979858
