machine_id,block_id,rate
fb_01,B8121,205.02123
fb_01,B18200,928.110195
fb_01,B20631,1029.09546
fb_01,B20673,2729.691194
fb_01,B21443,2319.96416
fb_01,B31203,694.522597
fb_02,B8121,205.02123
fb_02,B18200,928.110195
fb_02,B20631,1029.09546
fb_02,B20673,2729.691194
fb_02,B21443,2319.96416
fb_02,B31203,694.522597
sk_01,B8121,1088.676319
sk_01,B18200,406.765774
sk_01,B20631,562.296136
sk_01,B20673,457.145295
sk_01,B21443,607.608415
sk_01,B31203,522.728439
sk_02,B8121,1088.676319
sk_02,B18200,406.765774
sk_02,B20631,562.296136
sk_02,B20673,457.145295
sk_02,B21443,607.608415
sk_02,B31203,522.728439
pr_01,B8121,388.994246
pr_01,B18200,543.332328
pr_01,B20631,783.520933
pr_01,B20673,1288.521448
pr_01,B21443,1024.939966
pr_01,B31203,448.756539
ld_01,B8121,658.0
ld_01,B18200,658.0
ld_01,B20631,658.0
ld_01,B20673,658.0
ld_01,B21443,658.0
ld_01,B31203,658.0
