FID_TSA_AuthorizedBlocks,FIRST_TSNMBRDSCR,MEAN_LIVE_STAND_VOLUME_125,SUM_FEATURE_AREA_HA,MEAN_VRI_LIVE_STEMS_PER_HA,MEAN_MEAN,rand_vol,rand_vol1,Shape_Length,Shape_Area,Stand_volume_m3
4497,North Island TSA,538.275200000000041,40.584316770000001,617.399999999999977,4.622129163467197,0.100527970213935,0.998687704092532,3750.720787863966507,57242.372321715149155,21845.531226235107169
5218,North Island TSA,308.552142857142883,79.433947840000002,463.000000000000000,,0.940366832483902,0.997741630298776,952.804845083989903,1.818792647496537,24509.514821634515101
5817,North Island TSA,500.717346153845938,381.561622490000104,965.980769230769283,36.432437449574586,0.202459791863765,0.998748741111484,15382.029162585646191,1484404.387970713665709,191054.523007348470856
6017,North Island TSA,669.891285714285800,68.662673250000012,492.571428571428555,59.213950475056969,0.435041352580340,0.999206518753624,1214.369501663365554,5022.241888755204855,45996.526464022404980
8121,North Island TSA,129.096000000000004,22.137638090000003,688.000000000000000,,0.326395458845790,0.999694814905240,60.530782974493377,0.221772874305273,2857.880526866640594
9658,North Island TSA,473.805900000000122,604.655549759999872,734.466666666666697,40.080338210473464,0.881618701742607,0.997985778374584,20628.530116449182970,1330940.709366082912311,286489.366944031615276
10132,North Island TSA,497.170500000000061,66.155600620000001,549.000000000000000,4.170932661403310,0.217230750450148,0.998290963469344,476.673250348751594,5454.298238278935059,32890.613038045717985
10411,North Island TSA,746.625000000000000,1.822383690000000,220.000000000000000,,0.707663197729423,0.997985778374584,0.131812513539762,0.000103584989403,1360.637222546250086
10412,North Island TSA,746.625000000000000,1.822383690000000,220.000000000000000,,0.527237769707327,0.999206518753624,0.131812513539762,0.000103584989403,1360.637222546250086
11042,North Island TSA,783.652000000000044,3.343623340000000,449.000000000000000,42.229679107666016,0.386181218909268,0.999237037263100,177.213890369699357,717.018579279468099,2620.237117637680058
11805,North Island TSA,844.763000000000034,14.221326290000000,514.000000000000000,,0.296029541917173,0.998931852168340,92.576764743550783,20.453049658132638,12013.650260719270591
11856,North Island TSA,199.616199999999992,26.547714719999998,1460.200000000000045,47.157389322916664,0.917172765282144,0.998687704092532,509.647586598460862,709.604075715758768,5299.353931090463448
12039,North Island TSA,189.183500000000009,26.392348550000001,569.000000000000000,40.556875501360210,0.751792962431715,0.998870815149388,997.607737691539228,9092.476686792588225,4992.996871908925641
12431,North Island TSA,90.236000000000004,25.478802470000002,149.000000000000000,,0.438001647999512,0.998199407940916,13.810051807079674,0.638624850692389,2299.105219682920051
13384,North Island TSA,327.843000000000018,13.441336379999999,446.000000000000000,3.132498761018117,0.905575731681265,0.997894222846156,289.379991136576677,2302.560607590883137,4406.648042828340294
14517,North Island TSA,100.698000000000008,10.028786210000000,1740.000000000000000,,0.846156193731498,0.998504593035676,55.808890528871814,0.050888935906407,1009.878713774580092
14527,North Island TSA,289.237000000000023,11.232260610000001,799.000000000000000,14.184480667114258,0.436048463393048,0.998657185583056,75.663013116256636,259.325249179167258,3248.785362054570669
14953,North Island TSA,182.578000000000003,51.616439390000004,696.000000000000000,22.137840827306110,0.185827204199347,0.998870815149388,510.210594553526562,2548.968998093468599,9424.026270947420926
18032,North Island TSA,639.481000000000108,157.086706430000021,565.625000000000000,0.931256771087646,0.388653218176824,0.997772148808252,5246.726968690031754,1687.337182108703928,100453.964114562855684
18200,North Island TSA,373.136640000000057,336.846047010000007,953.600000000000023,47.449580518645035,0.951567125461593,0.999816888943144,7854.800151365821876,709044.671942831366323,125689.602178593471763
18591,North Island TSA,43.740000000000002,2.326719430000000,50.000000000000000,61.243850708007812,0.901577806939909,0.997344889675588,155.318711572992697,1048.824073166936614,101.770707868199992
20149,North Island TSA,391.782000000000039,98.005463710000001,695.399999999999977,50.628214133461718,0.921079134495071,0.997924741355632,4258.863471902165657,134623.671972818410723,38396.776583231221593
20538,North Island TSA,390.291888888888934,96.500326759999993,629.222222222222172,57.483853807562078,0.529068880275887,0.998107852412488,3142.825835323504180,147974.194893674168270,37663.294809555394750
20631,North Island TSA,186.440937500000018,109.879314890000018,263.250000000000000,42.495169606473709,0.798150578325755,0.999450666829432,3475.475800736870951,13692.581173708216738,20486.002479949314875
20632,North Island TSA,186.440937500000018,109.879314890000018,263.250000000000000,42.495169606473709,0.145878475295267,0.998840296639912,3475.475800736870951,13692.581173708216738,20486.002479949314875
20673,North Island TSA,594.337874999999940,174.282451680000008,432.375000000000000,44.189232761545099,0.056337168492691,0.999847407452620,7421.716489378679398,21678.127272615987749,103582.661981281373301
21443,North Island TSA,595.878333333333330,67.341284919999993,580.333333333333371,34.099469048636301,0.380535294656209,0.999572740867336,576.654530261093214,2577.527892432113276,40127.212622654726147
21885,North Island TSA,721.338000000000079,14.621588699999998,500.000000000000000,92.887901306152344,0.603076265755180,0.997894222846156,94.712694659200722,398.580489234204663,10547.107549680600641
21899,North Island TSA,404.273000000000025,52.270555729999998,772.500000000000000,71.165372467041010,0.097170934171575,0.997985778374584,733.666769425305461,7230.555243447460271,21131.574376634289365
22028,North Island TSA,653.087600000000066,82.549455069999993,388.399999999999977,39.195576922098802,0.714346751304666,0.998168889431440,1645.651561144137077,7477.154532863689383,53912.025492974134977
26719,North Island TSA,542.784499999999980,23.238397650000003,798.500000000000000,,0.028382213812677,0.997528000732444,158.934477787952460,4.420358754477327,12613.442049256425889
30099,North Island TSA,305.598000000000013,164.588606269999985,812.230769230769283,64.634025191317718,0.963744010742515,0.998840296639912,3070.339219670982857,546160.975754743209109,50297.948898899456253
30103,North Island TSA,281.556000000000040,126.087349769999975,734.285714285714334,32.864855051029267,0.623706778160955,0.999298074282052,5026.571518130033837,330594.198755347053520,35500.649851842121279
30358,North Island TSA,166.291166666666669,96.410231620000019,873.333333333333371,70.067405700683594,0.820673238319040,0.998413037507248,3113.188480928314675,486.636155126061965,16032.169894693359311
31203,North Island TSA,317.626857142857205,95.543822030000001,1191.857142857142890,49.385767106642447,0.510269478438673,0.999633777886288,3421.539077571126654,239217.190916273393668,30347.283910805384949
31613,North Island TSA,750.598999999999933,30.202159460000001,475.000000000000000,99.572947844019481,0.154179509872738,0.998321481978820,822.957278260230282,24749.463090274763090,22669.710688516537630
