FID_TSA_AuthorizedBlocks,FIRST_TSNMBRDSCR,MEAN_LIVE_STAND_VOLUME_125,SUM_FEATURE_AREA_HA,MEAN_VRI_LIVE_STEMS_PER_HA,MEAN_MEAN,rand_val,Shape_Length,Shape_Area,Stand_Volume_m3
42891,Prince George TSA,209.623736842105302,78.862801939999983,787.684210526315837,12.291017050404497,9.88494521927549E-02,16342.304190794127862,312466.565789127431344,16531.515240501626977
44010,Prince George TSA,201.286500000000018,81.563290280000004,401.500000000000000,4.068356171136823,9.88799707022309E-03,11495.482032383228216,533707.063574301893823,16417.589228945224022
45231,Prince George TSA,234.838000000000022,18.492094110000000,395.000000000000000,0.931256771087646,9.90020447401349E-02,1191.025254444495886,218.296734641245365,4342.646396604180154
53160,Prince George TSA,177.854500000000002,29.544186189999998,646.500000000000000,2.711848838762803,9.99176000244148E-02,672.033621305604356,4453.467431019164906,5254.566462729354498
55424,Prince George TSA,198.765250000000037,103.024448870000001,847.750000000000000,9.463012146949769,9.97039704580828E-02,2512.866196602979471,5553.494955948122879,20477.680335757770081
65573,Prince George TSA,168.901000000000010,29.010871659999999,188.000000000000000,24.776530265808105,9.85747856074709E-03,545.449803404276281,11018.732842593126406,4899.965234245660213
68233,Prince George TSA,303.411000000000001,164.669128039999975,458.750000000000000,20.289728918279252,9.93987853633229E-02,2277.867174165131473,265797.953087638015859,49962.424807744435384
107189,Prince George TSA,253.772545454545451,130.078075490000003,725.636363636363626,33.877222318222401,9.87273781548509E-02,6489.861462176970235,203808.194447266811039,33010.244324925821275
108060,Prince George TSA,206.319333333333361,50.814328150000001,584.333333333333371,12.443338123957316,9.8269600512711E-03,1508.827160878886161,2512.746900226472917,10483.978307689234498
108124,Prince George TSA,321.742000000000075,45.415732020000007,585.571428571428555,11.617334582311944,9.90020447401349E-02,8361.881746776278305,215534.216914591961540,14612.148451578845197
108339,Prince George TSA,208.786857142857173,90.461409179999990,748.142857142857110,14.101802592090404,9.88494521927549E-02,7009.229901116153997,86581.843156301751151,18887.153315406205365
109340,Prince George TSA,282.257777777777790,127.530338659999998,311.222222222222229,21.952928172363880,9.86053041169469E-02,4847.270746165166202,66358.551022382438532,35996.429989419026242
109517,Prince George TSA,339.782500000000027,11.386810300000000,575.500000000000000,37.240140762822378,9.69878231147191E-02,1907.405896867422598,42746.594000890654570,3869.038870759750353
109915,Prince George TSA,364.894052631579029,354.810457890000066,570.578947368421041,13.184875906174673,9.71098971526231E-02,11514.394664343179102,482269.304552413348574,129468.225895548341214
110288,Prince George TSA,297.592428571428570,263.107127670000068,434.035714285714278,15.462844961924892,9.99786370433668E-02,16137.927757905992621,1579689.407446619821712,78298.689097768234205
110471,Prince George TSA,236.986499999999978,199.406782829999997,404.800000000000011,9.598032536199018,9.83611560411389E-02,4425.152002482319403,36060.881517730245832,47256.715539141790941
111410,Prince George TSA,327.269999999999982,88.185081460000006,652.000000000000000,12.221677700678507,9.85137485885189E-02,255.780111087693399,1193.468358545311048,28860.331609414199193
111480,Prince George TSA,284.325375000000008,137.634334099999990,321.625000000000000,4.322925399222339,9.99481185338908E-02,3921.458082729713624,717713.202897152979858,39132.933655857785197
111867,Prince George TSA,324.343999999999994,12.830799420000000,297.000000000000000,11.754537463188171,9.85442670979949E-02,426.612738916332717,691.535690299853627,4161.592807080480270
112038,Prince George TSA,213.193600000000004,92.723461879999988,923.200000000000045,16.547694493191582,9.7659230323191E-04,3374.901867977551319,9986.919999489589827,19768.048642659967300
112990,Prince George TSA,236.141000000000020,124.506851749999996,386.875000000000000,20.364598547841723,9.89715262306589E-02,10933.751229191520906,175303.898044862638926,29401.172479096752795
113324,Prince George TSA,251.536333333333346,208.061273240000020,438.000000000000000,9.100643373002621,9.94598223822749E-02,5330.013578078999672,447261.243783484678715,52334.969779454397212
114477,Prince George TSA,210.582200000000000,81.851041269999996,585.000000000000000,29.188102263013253,9.91851557969909E-02,4123.669027027679476,226473.658561825082870,17236.372342927392310
114861,Prince George TSA,206.450000000000017,6.689155560000001,598.000000000000000,4.656283855438232,9.93377483443709E-02,144.149573706482983,322.695517649402461,1380.976165362000302
117387,Prince George TSA,156.466000000000008,6.667794620000000,512.000000000000000,34.160861015319824,9.88494521927549E-02,197.089983743491587,1249.008324841521926,1043.283153012920138
120266,Prince George TSA,225.596870967741893,397.227400380000006,460.548387096774206,10.228924194288599,9.7659230323191E-03,33766.070950521818304,1879631.214687972096726,89613.258588378404966
121154,Prince George TSA,488.873000000000047,12.048956220000001,305.000000000000000,18.194038073221844,9.88799707022309E-02,235.194158301797017,560.792790659624302,5890.409374140061118
121455,Prince George TSA,350.451999999999998,51.851631400000002,470.000000000000000,17.991392241583931,9.94293038727989E-02,512.889229042471584,4167.341258458011907,18171.507927392802230
121928,Prince George TSA,336.874200000000030,59.544033120000002,538.799999999999955,9.389273129609915,9.87578966643269E-02,2897.199346894239625,11060.598920526126676,20058.848522073505592
123357,Prince George TSA,167.412000000000006,14.277932900000000,492.000000000000000,1.078602855855769,9.70793786431471E-02,351.784345685585606,7600.431823726999937,2390.297302654800205
124193,Prince George TSA,313.253249999999980,45.594612259999998,344.750000000000000,13.574029422324637,9.95818964201788E-02,834.641768620056610,9701.054473668780702,14282.660472934843710
124453,Prince George TSA,332.437000000000012,25.534535209999998,430.000000000000000,15.212959925333658,9.90020447401349E-02,152.584982438860635,1107.752325890668317,8488.624281606769728
124540,Prince George TSA,215.694000000000017,10.602037769999999,717.000000000000000,8.665292703188383,9.69267860957671E-02,337.186530024440117,4673.164097769750697,2286.795934762380057
126413,Prince George TSA,312.081000000000017,122.561338039999995,885.000000000000000,11.355971813201903,9.90325632496109E-02,369.537164262144415,5930.838722336454339,38249.064936861243041
126492,Prince George TSA,193.040999999999997,52.525165750000006,1014.500000000000000,11.647070058983930,9.98260444959868E-02,4684.771085884159220,113559.788516609638464,10139.510521545751544
126589,Prince George TSA,289.667461538461509,461.605123990000038,710.500000000000000,15.965456064008082,9.68657490768151E-02,23804.857311606472649,2303744.374771119561046,133711.984499330079416
126869,Prince George TSA,246.941000000000031,162.008890469999983,399.250000000000000,15.138886507828802,9.85747856074709E-03,12342.221896428600303,166179.232665325223934,40006.637421552273736
127158,Prince George TSA,249.774326923076956,648.822748310000179,638.942307692307736,13.404269054038213,9.93072298348949E-02,27771.256795433160733,4176091.538640679325908,162059.265251511271344
129183,Prince George TSA,332.437000000000012,25.534535209999998,430.000000000000000,11.779569625854492,9.68657490768151E-02,35.799074357841050,42.185698738048600,8488.624281606769728
145584,Prince George TSA,216.572857142857089,334.839834550000035,508.714285714285722,20.645118516439375,9.72319711905271E-02,13565.332469064533143,987885.156612621736713,72517.219653735053726
