machine_id,day,available
fb_01,1,1
fb_01,2,1
fb_01,3,1
fb_01,4,1
fb_01,5,1
fb_01,6,1
fb_01,7,1
fb_01,8,1
fb_01,9,1
fb_01,10,1
fb_01,11,1
fb_01,12,1
fb_01,13,1
fb_01,14,1
fb_01,15,1
fb_01,16,1
fb_01,17,1
fb_01,18,1
fb_01,19,1
fb_01,20,1
fb_01,21,1
fb_01,22,1
fb_01,23,1
fb_01,24,1
fb_01,25,1
fb_01,26,1
fb_01,27,1
fb_01,28,1
fb_01,29,1
fb_01,30,1
fb_01,31,1
fb_01,32,1
fb_01,33,1
fb_01,34,1
fb_01,35,1
fb_01,36,1
fb_01,37,1
fb_01,38,1
fb_01,39,1
fb_01,40,1
fb_01,41,1
fb_01,42,1
fb_01,43,1
fb_01,44,1
fb_01,45,1
fb_01,46,1
fb_01,47,1
fb_01,48,1
fb_01,49,1
fb_01,50,1
fb_01,51,1
fb_01,52,1
fb_01,53,1
fb_01,54,1
fb_01,55,1
fb_01,56,1
fb_01,57,1
fb_01,58,1
fb_01,59,1
fb_01,60,1
fb_01,61,1
fb_01,62,1
fb_01,63,1
fb_01,64,1
fb_01,65,1
fb_01,66,1
fb_01,67,1
fb_01,68,1
fb_01,69,1
fb_01,70,1
fb_01,71,1
fb_01,72,1
fb_01,73,1
fb_01,74,1
fb_01,75,1
fb_01,76,1
fb_01,77,1
fb_01,78,1
fb_01,79,1
fb_01,80,1
fb_01,81,1
fb_01,82,1
fb_01,83,1
fb_01,84,1
fb_01,85,1
fb_01,86,1
fb_01,87,1
fb_01,88,1
fb_01,89,1
fb_01,90,1
fb_01,91,1
fb_01,92,1
fb_01,93,1
fb_01,94,1
fb_01,95,1
fb_01,96,1
fb_01,97,1
fb_01,98,1
fb_01,99,1
fb_01,100,1
fb_01,101,1
fb_01,102,1
fb_01,103,1
fb_01,104,1
fb_01,105,1
fb_01,106,1
fb_01,107,1
fb_01,108,1
fb_01,109,1
fb_01,110,1
fb_01,111,1
fb_01,112,1
fb_02,1,1
fb_02,2,1
fb_02,3,1
fb_02,4,1
fb_02,5,1
fb_02,6,1
fb_02,7,1
fb_02,8,1
fb_02,9,1
fb_02,10,1
fb_02,11,1
fb_02,12,1
fb_02,13,1
fb_02,14,1
fb_02,15,1
fb_02,16,1
