id,landing_id,harvest_system_id,work_required,earliest_start,latest_finish,avg_stem_size_m3,volume_per_ha_m3,stem_density_per_ha,ground_slope_percent,volume_per_ha_m3_sigma,stem_density_per_ha_sigma
B74735,L01,ground_fb_loader_liveheel,5077.390142,1,112,0.231838,97.256,419.5,22.744451,19.4512,83.9
B76319,L02,ground_fb_loader_liveheel,6535.0352,1,112,0.084651,44.855889,529.888889,15.410471,8.971178,105.977778
B76352,L03,ground_fb_loader_liveheel,5605.581072,1,112,0.10188,42.876091,420.848485,14.361759,8.575218,84.169697
B77252,L04,ground_fb_loader_liveheel,532.878882,1,112,0.015742,11.2635,715.5,14.16372,2.2527,143.1
B77300,L05,ground_fb_loader_liveheel,314.022971,1,112,0.32697,76.184,233.0,21.069852,15.2368,46.6
B77363,L06,ground_fb_loader_liveheel,12848.447326,1,112,0.603797,240.915,399.0,21.069852,48.183,79.8
B77651,L07,ground_fb_loader_liveheel,4507.266843,1,112,0.124368,95.515,768.0,21.069852,19.103,153.6
B77718,L08,ground_fb_loader_liveheel,2976.364388,1,112,0.077147,21.13825,274.0,21.069852,4.22765,54.8
B78567,L09,ground_fb_loader_liveheel,4540.28251,1,112,0.342651,96.342,281.166667,20.146164,19.2684,56.233333
B78910,L10,ground_fb_loader_liveheel,11652.873588,1,112,0.409885,242.788333,592.333333,21.069852,48.557667,118.466667
B79027,L11,ground_fb_loader_liveheel,715.000562,1,112,0.41725,41.997087,100.652174,14.834926,8.399417,20.130435
B80395,L12,ground_fb_loader_liveheel,4189.136981,1,112,0.159343,82.858333,520.0,5.343298,16.571667,104.0
B81779,L13,ground_fb_loader_liveheel,976.332941,1,112,0.04826,66.454,1377.0,21.069852,13.2908,275.4
B81877,L14,ground_fb_loader_liveheel,1033.390664,1,112,0.30617,137.164,448.0,21.069852,27.4328,89.6
B82792,L15,ground_fb_loader_liveheel,3618.547019,1,112,0.191069,212.851,1114.0,21.069852,42.5702,222.8
B83275,L16,ground_fb_loader_liveheel,2341.618243,1,112,0.179064,116.75,652.0,21.069852,23.35,130.4
B83630,L17,ground_fb_loader_liveheel,2341.618243,1,112,0.179064,116.75,652.0,25.745673,23.35,130.4
B84093,L18,ground_fb_loader_liveheel,1580.346572,1,112,0.54602,190.561,349.0,21.069852,38.1122,69.8
B86553,L19,ground_fb_loader_liveheel,10418.188503,1,112,0.313183,150.293,479.888889,21.993539,30.0586,95.977778
B86575,L20,ground_fb_loader_liveheel,3563.942838,1,112,0.533049,244.936,459.5,9.260137,48.9872,91.9
B86857,L21,ground_fb_loader_liveheel,115576.791159,1,112,0.263737,145.189737,550.508772,22.48083,29.037947,110.101754
B86909,L22,ground_fb_loader_liveheel,69348.10532,1,112,0.170844,147.319394,862.30303,24.807532,29.463879,172.460606
B88406,L23,ground_fb_loader_liveheel,14780.836734,1,112,0.206071,200.6312,973.6,45.652901,40.12624,194.72
B88642,L24,ground_fb_loader_liveheel,3143.598437,1,112,1.531419,574.282,375.0,35.387756,114.8564,75.0
B88901,L25,ground_fb_loader_liveheel,3778.317817,1,112,0.427333,94.868,222.0,21.069852,18.9736,44.4
B91173,L26,ground_fb_loader_liveheel,5194.483779,1,112,0.486787,231.954,476.5,21.069852,46.3908,95.3
B91223,L27,ground_fb_loader_liveheel,239.828705,1,112,0.013829,13.898,1005.0,6.24706,2.7796,201.0
B91247,L28,ground_fb_loader_liveheel,24981.831424,1,112,0.195054,155.609667,797.777778,9.016191,31.121933,159.555556
B91454,L29,ground_fb_loader_liveheel,117.006634,1,112,0.013522,13.914,1029.0,35.826164,2.7828,205.8
B91777,L30,ground_fb_loader_liveheel,26.568338,1,112,0.006422,1.522,237.0,27.814573,0.3044,47.4
B92367,L31,ground_fb_loader_liveheel,67.409472,1,112,0.021999,19.168667,871.333333,21.069852,3.833733,174.266667
B92731,L32,ground_fb_loader_liveheel,9592.493141,1,112,0.649622,328.7085,506.0,21.069852,65.7417,101.2
B92912,L33,ground_fb_loader_liveheel,4626.190113,1,112,0.218012,99.486333,456.333333,21.069852,19.897267,91.266667
B92962,L34,ground_fb_loader_liveheel,11114.358417,1,112,0.652314,206.131333,316.0,21.069852,41.226267,63.2
B94657,L35,ground_fb_loader_liveheel,7341.225859,1,112,0.279288,108.643,389.0,21.069852,21.7286,77.8
B95247,L36,ground_fb_loader_liveheel,22150.639572,1,112,0.300801,224.54825,746.5,21.069852,44.90965,149.3
B95834,L37,ground_fb_loader_liveheel,3841.540042,1,112,0.30714,185.82,605.0,19.393898,37.164,121.0
B96294,L38,ground_fb_loader_liveheel,4831.465087,1,112,0.559893,151.171,270.0,27.086469,30.2342,54.0
B98430,L39,ground_fb_loader_liveheel,7318.384577,1,112,0.405675,223.121,550.0,17.739524,44.6242,110.0
B98643,L40,ground_fb_loader_liveheel,174.882658,1,112,0.841863,21.4675,25.5,25.58485,4.2935,5.1
