machine_id,block_id,rate
fb_01,B4497,2322.41691
fb_01,B5218,1184.913362
fb_01,B5817,1443.108765
fb_01,B6017,2665.085661
fb_01,B8121,214.402139
fb_01,B9658,1502.484694
fb_01,B10132,2303.571589
fb_01,B10411,6188.236861
fb_01,B10412,6188.236861
fb_01,B11042,3631.334437
fb_01,B11805,3559.305051
fb_01,B11856,418.68091
fb_01,B12039,532.017271
fb_01,B12431,681.149683
fb_01,B13384,1764.743118
fb_01,B14517,274.203241
fb_01,B14527,1083.191238
fb_01,B14953,649.771314
fb_01,B18032,2914.49711
fb_01,B18200,928.110195
fb_01,B18591,826.477222
fb_01,B20149,1123.745771
fb_01,B20538,1118.891707
fb_01,B20631,1029.09546
fb_01,B20632,1029.09546
fb_01,B20673,2729.691194
fb_01,B21443,2319.96416
fb_01,B21885,2502.662037
fb_01,B21899,871.611226
fb_01,B22028,3356.548557
fb_01,B26719,1640.28839
fb_01,B30099,574.969425
fb_01,B30103,881.144989
fb_01,B30358,30.969448
fb_01,B31203,694.522597
fb_01,B31613,2687.37572
fb_01,B31730,1085.604963
fb_01,B32121,2664.8721
fb_01,B32707,3911.475823
fb_01,B35154,1997.404288
fb_02,B4497,2322.41691
fb_02,B5218,1184.913362
fb_02,B5817,1443.108765
fb_02,B6017,2665.085661
fb_02,B8121,214.402139
fb_02,B9658,1502.484694
fb_02,B10132,2303.571589
fb_02,B10411,6188.236861
fb_02,B10412,6188.236861
fb_02,B11042,3631.334437
fb_02,B11805,3559.305051
fb_02,B11856,418.68091
fb_02,B12039,532.017271
fb_02,B12431,681.149683
fb_02,B13384,1764.743118
fb_02,B14517,274.203241
fb_02,B14527,1083.191238
fb_02,B14953,649.771314
fb_02,B18032,2914.49711
fb_02,B18200,928.110195
fb_02,B18591,826.477222
fb_02,B20149,1123.745771
fb_02,B20538,1118.891707
fb_02,B20631,1029.09546
fb_02,B20632,1029.09546
fb_02,B20673,2729.691194
fb_02,B21443,2319.96416
fb_02,B21885,2502.662037
fb_02,B21899,871.611226
fb_02,B22028,3356.548557
fb_02,B26719,1640.28839
fb_02,B30099,574.969425
fb_02,B30103,881.144989
fb_02,B30358,30.969448
fb_02,B31203,694.522597
fb_02,B31613,2687.37572
fb_02,B31730,1085.604963
fb_02,B32121,2664.8721
fb_02,B32707,3911.475823
fb_02,B35154,1997.404288
fb_03,B4497,2322.41691
fb_03,B5218,1184.913362
fb_03,B5817,1443.108765
fb_03,B6017,2665.085661
fb_03,B8121,214.402139
fb_03,B9658,1502.484694
fb_03,B10132,2303.571589
fb_03,B10411,6188.236861
fb_03,B10412,6188.236861
fb_03,B11042,3631.334437
fb_03,B11805,3559.305051
fb_03,B11856,418.68091
fb_03,B12039,532.017271
fb_03,B12431,681.149683
fb_03,B13384,1764.743118
fb_03,B14517,274.203241
fb_03,B14527,1083.191238
fb_03,B14953,649.771314
fb_03,B18032,2914.49711
fb_03,B18200,928.110195
fb_03,B18591,826.477222
fb_03,B20149,1123.745771
fb_03,B20538,1118.891707
fb_03,B20631,1029.09546
fb_03,B20632,1029.09546
fb_03,B20673,2729.691194
fb_03,B21443,2319.96416
fb_03,B21885,2502.662037
fb_03,B21899,871.611226
fb_03,B22028,3356.548557
fb_03,B26719,1640.28839
fb_03,B30099,574.969425
fb_03,B30103,881.144989
fb_03,B30358,30.969448
fb_03,B31203,694.522597
fb_03,B31613,2687.37572
fb_03,B31730,1085.604963
fb_03,B32121,2664.8721
fb_03,B32707,3911.475823
fb_03,B35154,1997.404288
fb_04,B4497,2322.41691
fb_04,B5218,1184.913362
fb_04,B5817,1443.108765
fb_04,B6017,2665.085661
fb_04,B8121,214.402139
fb_04,B9658,1502.484694
fb_04,B10132,2303.571589
fb_04,B10411,6188.236861
fb_04,B10412,6188.236861
fb_04,B11042,3631.334437
fb_04,B11805,3559.305051
fb_04,B11856,418.68091
fb_04,B12039,532.017271
fb_04,B12431,681.149683
fb_04,B13384,1764.743118
fb_04,B14517,274.203241
fb_04,B14527,1083.191238
fb_04,B14953,649.771314
fb_04,B18032,2914.49711
fb_04,B18200,928.110195
fb_04,B18591,826.477222
fb_04,B20149,1123.745771
fb_04,B20538,1118.891707
fb_04,B20631,1029.09546
fb_04,B20632,1029.09546
fb_04,B20673,2729.691194
fb_04,B21443,2319.96416
fb_04,B21885,2502.662037
fb_04,B21899,871.611226
fb_04,B22028,3356.548557
fb_04,B26719,1640.28839
fb_04,B30099,574.969425
fb_04,B30103,881.144989
fb_04,B30358,30.969448
fb_04,B31203,694.522597
fb_04,B31613,2687.37572
fb_04,B31730,1085.604963
fb_04,B32121,2664.8721
fb_04,B32707,3911.475823
fb_04,B35154,1997.404288
fb_05,B4497,2322.41691
fb_05,B5218,1184.913362
fb_05,B5817,1443.108765
fb_05,B6017,2665.085661
fb_05,B8121,214.402139
fb_05,B9658,1502.484694
fb_05,B10132,2303.571589
fb_05,B10411,6188.236861
fb_05,B10412,6188.236861
fb_05,B11042,3631.334437
fb_05,B11805,3559.305051
fb_05,B11856,418.68091
fb_05,B12039,532.017271
fb_05,B12431,681.149683
fb_05,B13384,1764.743118
fb_05,B14517,274.203241
fb_05,B14527,1083.191238
fb_05,B14953,649.771314
fb_05,B18032,2914.49711
