id,landing_id,harvest_system_id,work_required,earliest_start,latest_finish,avg_stem_size_m3,volume_per_ha_m3,stem_density_per_ha,ground_slope_percent,volume_per_ha_m3_sigma,stem_density_per_ha_sigma
B4497,L01,ground_fb_loader_liveheel,21845.531226,1,112,0.871842,538.2752,617.4,4.622129,107.65504,123.48
B5218,L02,ground_fb_loader_liveheel,24509.514822,1,112,0.666419,308.552143,463.0,43.342201,61.710429,92.6
B5817,L03,ground_fb_loader_liveheel,191054.523007,1,112,0.518351,500.717346,965.980769,36.432437,100.143469,193.196154
B6017,L04,ground_fb_loader_liveheel,45996.526464,1,112,1.359988,669.891286,492.571429,59.21395,133.978257,98.514286
B8121,L05,ground_fb_loader_liveheel,2857.880527,1,112,0.18764,129.096,688.0,43.342201,25.8192,137.6
B9658,L06,ground_fb_loader_liveheel,286489.366944,1,112,0.645102,473.8059,734.466667,40.080338,94.76118,146.893333
B10132,L07,ground_fb_loader_liveheel,32890.613038,1,112,0.905593,497.1705,549.0,4.170933,99.4341,109.8
B10411,L08,ground_fb_loader_liveheel,1360.637223,1,112,3.39375,746.625,220.0,43.342201,149.325,44.0
B10412,L09,ground_fb_loader_liveheel,1360.637223,1,112,3.39375,746.625,220.0,43.342201,149.325,44.0
B11042,L10,ground_fb_loader_liveheel,2620.237118,1,112,1.745327,783.652,449.0,42.229679,156.7304,89.8
B11805,L11,ground_fb_loader_liveheel,12013.650261,1,112,1.643508,844.763,514.0,43.342201,168.9526,102.8
B11856,L12,ground_fb_loader_liveheel,5299.353931,1,112,0.136705,199.6162,1460.2,47.157389,39.92324,292.04
B12039,L13,ground_fb_loader_liveheel,4992.996872,1,112,0.332484,189.1835,569.0,40.556876,37.8367,113.8
B12431,L14,ground_fb_loader_liveheel,2299.10522,1,112,0.605611,90.236,149.0,43.342201,18.0472,29.8
B13384,L15,ground_fb_loader_liveheel,4406.648043,1,112,0.735074,327.843,446.0,3.132499,65.5686,89.2
B14517,L16,ground_fb_loader_liveheel,1009.878714,1,112,0.057872,100.698,1740.0,43.342201,20.1396,348.0
B14527,L17,ground_fb_loader_liveheel,3248.785362,1,112,0.361999,289.237,799.0,14.184481,57.8474,159.8
B14953,L18,ground_fb_loader_liveheel,9424.026271,1,112,0.262325,182.578,696.0,22.137841,36.5156,139.2
B18032,L19,ground_fb_loader_liveheel,100453.964115,1,112,1.130574,639.481,565.625,0.931257,127.8962,113.125
B18200,L20,ground_fb_loader_liveheel,125689.602179,1,112,0.391293,373.13664,953.6,47.449581,74.627328,190.72
B18591,L21,ground_fb_loader_liveheel,101.770708,1,112,0.8748,43.74,50.0,61.243851,8.748,10.0
B20149,L22,ground_fb_loader_liveheel,38396.776583,1,112,0.563391,391.782,695.4,50.628214,78.3564,139.08
B20538,L23,ground_fb_loader_liveheel,37663.29481,1,112,0.620277,390.291889,629.222222,57.483854,78.058378,125.844444
B20631,L24,ground_fb_loader_liveheel,20486.00248,1,112,0.708228,186.440937,263.25,42.49517,37.288187,52.65
B20632,L25,ground_fb_loader_liveheel,20486.00248,1,112,0.708228,186.440937,263.25,42.49517,37.288187,52.65
B20673,L26,ground_fb_loader_liveheel,103582.661981,1,112,1.374589,594.337875,432.375,44.189233,118.867575,86.475
B21443,L27,ground_fb_loader_liveheel,40127.212623,1,112,1.026786,595.878333,580.333333,34.099469,119.175667,116.066667
B21885,L28,ground_fb_loader_liveheel,10547.10755,1,112,1.442676,721.338,500.0,92.887901,144.2676,100.0
B21899,L29,ground_fb_loader_liveheel,21131.574377,1,112,0.523331,404.273,772.5,71.165372,80.8546,154.5
B22028,L30,ground_fb_loader_liveheel,53912.025493,1,112,1.681482,653.0876,388.4,39.195577,130.61752,77.68
B26719,L31,ground_fb_loader_liveheel,12613.442049,1,112,0.679755,542.7845,798.5,43.342201,108.5569,159.7
B30099,L32,ground_fb_loader_liveheel,50297.948899,1,112,0.376245,305.598,812.230769,64.634025,61.1196,162.446154
B30103,L33,ground_fb_loader_liveheel,35500.649852,1,112,0.383442,281.556,734.285714,32.864855,56.3112,146.857143
B30358,L34,ground_fb_loader_liveheel,16032.169895,1,112,0.19041,166.291167,873.333333,70.067406,33.258233,174.666667
B31203,L35,ground_fb_loader_liveheel,30347.283911,1,112,0.266497,317.626857,1191.857143,49.385767,63.525371,238.371429
B31613,L36,ground_fb_loader_liveheel,22669.710689,1,112,1.580208,750.599,475.0,99.572948,150.1198,95.0
B31730,L37,ground_fb_loader_liveheel,32612.24143,1,112,0.815955,442.973111,542.888889,93.793785,88.594622,108.577778
B32121,L38,ground_fb_loader_liveheel,33052.049012,1,112,1.376977,649.015333,471.333333,58.4791,129.803067,94.266667
B32707,L39,ground_fb_loader_liveheel,82480.834285,1,112,2.050569,779.802,380.285714,59.574066,155.9604,76.057143
B35154,L40,ground_fb_loader_liveheel,37066.262004,1,112,0.790427,566.736,717.0,28.305607,113.3472,143.4
