file,context,size,sub_days,theta_weeks,lock_days,solver,objective_iteration0,num_iterations,time_limited_iterations,time_limit_fraction,optimal_iterations,total_locked_assignments,master_days
pg_6_sub14_lock1_mip_20260301_200611.json,pg,6,14,2.0,1,mip_20260301,,14,1,0.07142857142857142,13,100,14
ka_6_sub14_lock1_mip_20260304_225259.json,ka,6,14,2.0,1,mip_20260304,,14,3,0.21428571428571427,11,79,14
ni_6_sub14_lock1_mip_20260304_031521.json,ni,6,14,2.0,1,mip_20260304,-271766.64370099996,14,0,0.0,14,108,14
pg_6_sub14_lock1_sa_20260301_200611.json,pg,6,14,2.0,1,sa_20260301,-27654.670106,14,0,0.0,0,84,14
ka_6_sub14_lock1_sa_20260304_225259.json,ka,6,14,2.0,1,sa_20260304,-381.3555949999991,14,0,0.0,0,84,14
ni_6_sub14_lock1_sa_20260304_031521.json,ni,6,14,2.0,1,sa_20260304,-280978.64370099996,14,0,0.0,0,84,14
pg_6_sub14_lock7_mip_20260301_210935.json,pg,6,14,2.0,7,mip_20260301,,2,1,0.5,1,74,14
ka_6_sub14_lock7_mip_20260304_230140.json,ka,6,14,2.0,7,mip_20260304,,2,1,0.5,1,71,14
ni_6_sub14_lock7_mip_20260304_034515.json,ni,6,14,2.0,7,mip_20260304,-271766.64370099996,2,0,0.0,2,170,14
pg_6_sub14_lock7_mip_20260305_223204.json,pg,6,14,2.0,7,mip_20260305,,2,1,0.5,1,74,14
ka_6_sub14_lock7_mip_20260305_005703.json,ka,6,14,2.0,7,mip_20260305,,2,1,0.5,1,71,14
ni_6_sub14_lock7_mip_20260305_105300.json,ni,6,14,2.0,7,mip_20260305,-271766.64370099996,2,0,0.0,2,170,14
pg_6_sub14_lock7_sa_20260301_210935.json,pg,6,14,2.0,7,sa_20260301,-27654.670106,2,0,0.0,0,208,14
ni_6_sub14_lock7_sa_20260304_034515.json,ni,6,14,2.0,7,sa_20260304,-280978.64370099996,2,0,0.0,0,206,14
ka_6_sub14_lock7_sa_20260304_231157.json,ka,6,14,2.0,7,sa_20260304,-3381.355594999999,2,0,0.0,0,183,14
ka_6_sub14_lock7_sa_20260305_005703.json,ka,6,14,2.0,7,sa_20260305,-381.3555949999991,2,0,0.0,0,183,14
pg_6_sub14_lock7_sa_20260305_224512.json,pg,6,14,2.0,7,sa_20260305,-28970.670106,2,0,0.0,0,207,14
ni_6_sub14_lock7_sa_20260305_105836.json,ni,6,14,2.0,7,sa_20260305,-280978.64370099996,2,0,0.0,0,206,14
pg_6_sub14_lock14_mip_20260301_214307.json,pg,6,14,2.0,14,mip_20260301,,1,1,1.0,0,0,14
ni_6_sub14_lock14_mip_20260304_035122.json,ni,6,14,2.0,14,mip_20260304,-271766.64370099996,1,0,0.0,1,164,14
ka_6_sub14_lock14_mip_20260305_012750.json,ka,6,14,2.0,14,mip_20260305,,1,1,1.0,0,0,14
pg_6_sub14_lock14_sa_20260301_214307.json,pg,6,14,2.0,14,sa_20260301,-27654.670106,1,0,0.0,0,220,14
ni_6_sub14_lock14_sa_20260304_035122.json,ni,6,14,2.0,14,sa_20260304,-280978.64370099996,1,0,0.0,0,229,14
ka_6_sub14_lock14_sa_20260305_012750.json,ka,6,14,2.0,14,sa_20260305,-381.3555949999991,1,0,0.0,0,192,14
pg_6_sub28_lock1_mip_20260301_221329.json,pg,6,28,4.0,1,mip_20260301,,28,15,0.5357142857142857,13,100,28
ni_6_sub28_lock1_mip_20260304_035506.json,ni,6,28,4.0,1,mip_20260304,,28,7,0.25,21,173,28
ka_6_sub28_lock1_mip_20260305_015816.json,ka,6,28,4.0,1,mip_20260305,30913.355594999994,28,15,0.5357142857142857,13,101,28
pg_6_sub28_lock1_sa_20260301_221329.json,pg,6,28,4.0,1,sa_20260301,11413.260361999997,28,0,0.0,0,168,28
ni_6_sub28_lock1_sa_20260304_035506.json,ni,6,28,4.0,1,sa_20260304,-227022.64370099996,28,0,0.0,0,168,28
ka_6_sub28_lock1_sa_20260305_015816.json,ka,6,28,4.0,1,sa_20260305,15847.597830999988,28,0,0.0,0,168,28
pg_6_sub28_lock7_mip_20260302_062339.json,pg,6,28,4.0,7,mip_20260302,,4,3,0.75,1,74,28
ni_6_sub28_lock7_mip_20260304_105817.json,ni,6,28,4.0,7,mip_20260304,,4,2,0.5,2,170,28
ka_6_sub28_lock7_mip_20260304_231216.json,ka,6,28,4.0,7,mip_20260304,,4,3,0.75,1,71,28
ka_6_sub28_lock7_mip_20260305_110018.json,ka,6,28,4.0,7,mip_20260305,30913.355594999994,4,2,0.5,2,178,28
pg_6_sub28_lock7_mip_20260305_224530.json,pg,6,28,4.0,7,mip_20260305,,4,3,0.75,1,74,28
ni_6_sub28_lock7_mip_20260305_105856.json,ni,6,28,4.0,7,mip_20260305,,4,2,0.5,2,170,28
pg_6_sub28_lock7_sa_20260302_062339.json,pg,6,28,4.0,7,sa_20260302,11413.260361999997,4,0,0.0,0,414,28
ka_6_sub28_lock7_sa_20260304_234243.json,ka,6,28,4.0,7,sa_20260304,7847.597830999988,4,0,0.0,0,367,28
ni_6_sub28_lock7_sa_20260304_105817.json,ni,6,28,4.0,7,sa_20260304,-227022.64370099996,4,0,0.0,0,410,28
