machine_id,block_id,day,assigned,scenario,solver,master_days,subproblem_days,lock_days,start_day
fb_01,B74735,1,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B76319,1,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B77363,1,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B74735,1,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B74735,1,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B76319,1,1,MASc KA 6 blocks,mip,28,28,1,1
pr_01,B74735,1,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B76319,1,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,1,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B74735,1,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,1,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B76319,2,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B76319,2,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B77363,2,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B74735,2,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B76319,2,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77252,2,1,MASc KA 6 blocks,mip,28,28,1,1
pr_01,B74735,2,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,2,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,2,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B74735,2,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,2,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B77363,18,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B77363,18,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B76319,18,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77363,18,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77363,18,1,MASc KA 6 blocks,mip,28,28,1,1
pr_01,B77363,18,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,18,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,18,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,18,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,18,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B74735,19,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77363,19,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77363,19,1,MASc KA 6 blocks,mip,28,28,1,1
pr_01,B77363,19,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,19,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,19,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,19,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,19,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B74735,20,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B77363,20,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77363,20,1,MASc KA 6 blocks,mip,28,28,1,1
pr_01,B77363,20,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,20,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,20,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,20,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,20,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B77363,21,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77363,21,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77363,21,1,MASc KA 6 blocks,mip,28,28,1,1
pr_01,B77363,21,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,21,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,21,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,21,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,21,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B77363,22,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77363,22,1,MASc KA 6 blocks,mip,28,28,1,1
pr_01,B77363,22,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,22,1,MASc KA 6 blocks,mip,28,28,1,1
sk_01,B77363,22,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,22,1,MASc KA 6 blocks,mip,28,28,1,1
sk_02,B77363,22,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B77363,23,1,MASc KA 6 blocks,mip,28,28,1,1
fb_01,B77363,23,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77363,23,1,MASc KA 6 blocks,mip,28,28,1,1
fb_02,B77363,23,1,MASc KA 6 blocks,mip,28,28,1,1
pr_01,B77363,23,1,MASc KA 6 blocks,mip,28,28,1,1
