machine_id,block_id,day,assigned,scenario,solver,master_days,subproblem_days,lock_days,start_day
fb_01,B44010,1,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B55424,1,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B53160,1,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B53160,1,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B44010,1,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B53160,1,1,MASc PG 6 blocks,mip,112,112,14,1
sk_02,B53160,1,1,MASc PG 6 blocks,mip,112,112,14,1
sk_02,B55424,1,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B53160,2,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B44010,2,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B53160,2,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B44010,2,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B53160,2,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B53160,3,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B55424,3,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B55424,3,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B53160,3,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B55424,4,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B55424,4,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B53160,4,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B53160,4,1,MASc PG 6 blocks,mip,112,112,14,1
sk_02,B55424,4,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B45231,5,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B55424,5,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B55424,5,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B55424,5,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B55424,5,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B55424,5,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B55424,5,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B55424,5,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B42891,6,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B55424,6,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B45231,6,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B55424,6,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B42891,6,1,MASc PG 6 blocks,mip,112,112,14,1
sk_02,B45231,6,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B53160,7,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B44010,7,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B42891,7,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B45231,7,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B42891,7,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B42891,7,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B53160,7,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B65573,8,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B44010,8,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B42891,8,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B53160,8,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B44010,8,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B44010,9,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B53160,9,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B42891,9,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B44010,9,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B55424,10,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B44010,10,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B65573,10,1,MASc PG 6 blocks,mip,112,112,14,1
sk_02,B55424,10,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B55424,11,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B55424,11,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B44010,11,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B55424,11,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B44010,11,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B44010,12,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B44010,12,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B55424,12,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B55424,12,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B55424,12,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B42891,13,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B44010,13,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B44010,13,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B44010,13,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B44010,13,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B44010,13,1,MASc PG 6 blocks,mip,112,112,14,1
sk_02,B44010,13,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B44010,14,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B44010,14,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B44010,14,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B55424,14,1,MASc PG 6 blocks,mip,112,112,14,1
sk_02,B42891,14,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B55424,15,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B42891,15,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B65573,15,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B55424,15,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B55424,15,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B55424,15,1,MASc PG 6 blocks,mip,112,112,14,1
sk_02,B55424,15,1,MASc PG 6 blocks,mip,112,112,14,1
sk_02,B65573,15,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B55424,16,1,MASc PG 6 blocks,mip,112,112,14,1
ld_01,B55424,16,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B55424,16,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B55424,16,1,MASc PG 6 blocks,mip,112,112,14,1
pr_01,B65573,16,1,MASc PG 6 blocks,mip,112,112,14,1
sk_01,B42891,16,1,MASc PG 6 blocks,mip,112,112,14,1
sk_02,B55424,16,1,MASc PG 6 blocks,mip,112,112,14,1
fb_01,B55424,17,1,MASc PG 6 blocks,mip,112,112,14,1
fb_02,B53160,17,1,MASc PG 6 blocks,mip,112,112,14,1
