machine_id,block_id,day,assigned,scenario,solver,master_days,subproblem_days,lock_days,start_day
fb_01,B20673,99,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B20631,99,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B21443,99,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20673,99,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,99,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B21443,99,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,99,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,99,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B20673,100,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B21443,100,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,100,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,100,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,100,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20631,100,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,100,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,100,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20631,100,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,100,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,100,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20631,100,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,100,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,100,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B20631,101,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B20673,101,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20631,101,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,101,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,101,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20673,101,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20673,101,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20631,101,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,101,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B21443,101,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20631,101,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,101,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B20673,102,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B31203,102,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,102,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,102,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,102,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20631,102,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,102,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,102,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,102,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B21443,102,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,102,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,102,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,102,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B20673,103,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B20673,103,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B18200,103,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20631,103,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,103,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,103,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20631,103,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20673,103,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,103,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B18200,103,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,103,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,103,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,103,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B21443,104,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B20673,104,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,104,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,104,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,104,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B18200,104,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20673,104,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B31203,104,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,104,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,104,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,104,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B31203,104,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B21443,105,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B20673,105,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20631,105,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,105,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,105,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20673,105,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,105,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,105,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,105,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,105,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,105,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,105,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B18200,106,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,106,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,106,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,106,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20673,106,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,106,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B31203,106,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,106,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B21443,106,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B31203,106,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B18200,106,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B18200,106,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,106,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B21443,107,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B20631,107,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B20631,107,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,107,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,107,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B31203,107,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B18200,107,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20673,107,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20631,107,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B21443,107,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20631,107,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,107,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B21443,108,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B20673,108,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B8121,108,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B18200,108,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20631,108,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,108,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20631,108,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,108,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,108,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,108,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,108,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20631,108,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,108,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,108,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B21443,109,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B8121,109,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,109,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,109,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,109,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20673,109,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B20673,109,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B20673,109,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B20673,109,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B21443,110,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B21443,110,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B21443,110,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,110,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B20673,110,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,110,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,110,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,110,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B21443,110,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,110,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,110,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B31203,111,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B21443,111,1,MASc NI 6 blocks,mip,112,112,14,1
fb_01,B21443,112,1,MASc NI 6 blocks,mip,112,112,14,1
fb_02,B21443,112,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,112,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,112,1,MASc NI 6 blocks,mip,112,112,14,1
ld_01,B21443,112,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,112,1,MASc NI 6 blocks,mip,112,112,14,1
pr_01,B21443,112,1,MASc NI 6 blocks,mip,112,112,14,1
sk_01,B18200,112,1,MASc NI 6 blocks,mip,112,112,14,1
sk_02,B18200,112,1,MASc NI 6 blocks,mip,112,112,14,1
